Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,1.0,0 days 00:01:39.019000,1.0,1.0,SOFT,4.0
VER,Red Bull Racing,2.0,0 days 00:01:37.974000,1.0,1.0,SOFT,5.0
VER,Red Bull Racing,3.0,0 days 00:01:38.006000,1.0,1.0,SOFT,6.0
VER,Red Bull Racing,4.0,0 days 00:01:37.976000,1.0,1.0,SOFT,7.0
VER,Red Bull Racing,5.0,0 days 00:01:38.035000,1.0,1.0,SOFT,8.0
VER,Red Bull Racing,6.0,0 days 00:01:37.986000,1.0,1.0,SOFT,9.0
VER,Red Bull Racing,7.0,0 days 00:01:38.021000,1.0,1.0,SOFT,10.0
VER,Red Bull Racing,8.0,0 days 00:01:38.154000,1.0,1.0,SOFT,11.0
VER,Red Bull Racing,9.0,0 days 00:01:38.278000,1.0,1.0,SOFT,12.0
VER,Red Bull Racing,10.0,0 days 00:01:38.369000,1.0,1.0,SOFT,13.0
VER,Red Bull Racing,11.0,0 days 00:01:38.483000,1.0,1.0,SOFT,14.0
VER,Red Bull Racing,12.0,0 days 00:01:38.591000,1.0,1.0,SOFT,15.0
VER,Red Bull Racing,13.0,0 days 00:01:38.482000,1.0,1.0,SOFT,16.0
VER,Red Bull Racing,14.0,0 days 00:01:41.295000,1.0,1.0,SOFT,17.0
VER,Red Bull Racing,15.0,0 days 00:01:58.378000,2.0,2.0,SOFT,1.0
VER,Red Bull Racing,16.0,0 days 00:01:37.801000,2.0,2.0,SOFT,2.0
VER,Red Bull Racing,17.0,0 days 00:01:37.648000,2.0,2.0,SOFT,3.0
VER,Red Bull Racing,18.0,0 days 00:01:37.614000,1.0,2.0,SOFT,4.0
VER,Red Bull Racing,19.0,0 days 00:01:37.712000,1.0,2.0,SOFT,5.0
VER,Red Bull Racing,20.0,0 days 00:01:37.788000,1.0,2.0,SOFT,6.0
VER,Red Bull Racing,21.0,0 days 00:01:37.582000,1.0,2.0,SOFT,7.0
VER,Red Bull Racing,22.0,0 days 00:01:37.651000,1.0,2.0,SOFT,8.0
VER,Red Bull Racing,23.0,0 days 00:01:37.552000,1.0,2.0,SOFT,9.0
VER,Red Bull Racing,24.0,0 days 00:01:37.387000,1.0,2.0,SOFT,10.0
VER,Red Bull Racing,25.0,0 days 00:01:37.372000,1.0,2.0,SOFT,11.0
VER,Red Bull Racing,26.0,0 days 00:01:37.682000,1.0,2.0,SOFT,12.0
VER,Red Bull Racing,27.0,0 days 00:01:37.379000,1.0,2.0,SOFT,13.0
VER,Red Bull Racing,28.0,0 days 00:01:37.651000,1.0,2.0,SOFT,14.0
VER,Red Bull Racing,29.0,0 days 00:01:37.571000,1.0,2.0,SOFT,15.0
VER,Red Bull Racing,30.0,0 days 00:01:37.549000,1.0,2.0,SOFT,16.0
