Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,1.0,0 days 00:01:45.222000,13.0,1.0,MEDIUM,1.0
VER,Red Bull Racing,2.0,0 days 00:01:37.680000,13.0,1.0,MEDIUM,2.0
VER,Red Bull Racing,3.0,0 days 00:01:36.526000,13.0,1.0,MEDIUM,3.0
VER,Red Bull Racing,4.0,0 days 00:01:36.503000,12.0,1.0,MEDIUM,4.0
VER,Red Bull Racing,5.0,0 days 00:01:35.359000,11.0,1.0,MEDIUM,5.0
VER,Red Bull Racing,6.0,0 days 00:01:35.840000,11.0,1.0,MEDIUM,6.0
VER,Red Bull Racing,7.0,0 days 00:01:35.687000,11.0,1.0,MEDIUM,7.0
VER,Red Bull Racing,8.0,0 days 00:01:35.129000,10.0,1.0,MEDIUM,8.0
VER,Red Bull Racing,9.0,0 days 00:01:35.561000,9.0,1.0,MEDIUM,9.0
VER,Red Bull Racing,10.0,0 days 00:01:35.443000,9.0,1.0,MEDIUM,10.0
VER,Red Bull Racing,11.0,0 days 00:01:35.306000,9.0,1.0,MEDIUM,11.0
VER,Red Bull Racing,12.0,0 days 00:01:34.848000,8.0,1.0,MEDIUM,12.0
VER,Red Bull Racing,13.0,0 days 00:01:35.183000,8.0,1.0,MEDIUM,13.0
VER,Red Bull Racing,14.0,0 days 00:01:34.200000,6.0,1.0,MEDIUM,14.0
VER,Red Bull Racing,15.0,0 days 00:01:34.499000,6.0,1.0,MEDIUM,15.0
VER,Red Bull Racing,16.0,0 days 00:01:34.443000,4.0,1.0,MEDIUM,16.0
VER,Red Bull Racing,17.0,0 days 00:01:33.790000,4.0,1.0,MEDIUM,17.0
VER,Red Bull Racing,18.0,0 days 00:02:14.348000,4.0,1.0,MEDIUM,18.0
VER,Red Bull Racing,21.0,0 days 00:01:36.946000,4.0,2.0,HARD,3.0
VER,Red Bull Racing,22.0,0 days 00:01:34.973000,4.0,2.0,HARD,4.0
VER,Red Bull Racing,23.0,0 days 00:01:34.115000,3.0,2.0,HARD,5.0
VER,Red Bull Racing,24.0,0 days 00:01:34.146000,3.0,2.0,HARD,6.0
VER,Red Bull Racing,25.0,0 days 00:01:32.933000,2.0,2.0,HARD,7.0
VER,Red Bull Racing,26.0,0 days 00:01:32.940000,2.0,2.0,HARD,8.0
VER,Red Bull Racing,27.0,0 days 00:01:32.838000,2.0,2.0,HARD,9.0
VER,Red Bull Racing,28.0,0 days 00:01:32.869000,2.0,2.0,HARD,10.0
VER,Red Bull Racing,29.0,0 days 00:01:32.670000,2.0,2.0,HARD,11.0
VER,Red Bull Racing,30.0,0 days 00:01:32.877000,2.0,2.0,HARD,12.0
VER,Red Bull Racing,31.0,0 days 00:01:32.382000,2.0,2.0,HARD,13.0
VER,Red Bull Racing,32.0,0 days 00:01:32.400000,2.0,2.0,HARD,14.0
VER,Red Bull Racing,33.0,0 days 00:01:32.387000,2.0,2.0,HARD,15.0
VER,Red Bull Racing,34.0,0 days 00:01:32.341000,2.0,2.0,HARD,16.0
VER,Red Bull Racing,35.0,0 days 00:01:32.249000,2.0,2.0,HARD,17.0
VER,Red Bull Racing,36.0,0 days 00:01:32.384000,2.0,2.0,HARD,18.0
VER,Red Bull Racing,37.0,0 days 00:01:32.496000,2.0,2.0,HARD,19.0
VER,Red Bull Racing,38.0,0 days 00:01:33.123000,2.0,2.0,HARD,20.0
VER,Red Bull Racing,39.0,0 days 00:01:32.432000,2.0,2.0,HARD,21.0
VER,Red Bull Racing,40.0,0 days 00:01:32.606000,2.0,2.0,HARD,22.0
VER,Red Bull Racing,41.0,0 days 00:01:32.638000,2.0,2.0,HARD,23.0
VER,Red Bull Racing,42.0,0 days 00:01:32.274000,2.0,2.0,HARD,24.0
VER,Red Bull Racing,43.0,0 days 00:01:32.343000,2.0,2.0,HARD,25.0
VER,Red Bull Racing,44.0,0 days 00:01:32.848000,2.0,2.0,HARD,26.0
VER,Red Bull Racing,45.0,0 days 00:01:32.968000,2.0,2.0,HARD,27.0
VER,Red Bull Racing,46.0,0 days 00:01:33.148000,2.0,2.0,HARD,28.0
VER,Red Bull Racing,47.0,0 days 00:01:33.238000,2.0,2.0,HARD,29.0
VER,Red Bull Racing,48.0,0 days 00:01:33.607000,2.0,2.0,HARD,30.0
VER,Red Bull Racing,49.0,0 days 00:01:33.835000,2.0,2.0,HARD,31.0
VER,Red Bull Racing,50.0,0 days 00:01:31.906000,2.0,2.0,HARD,32.0
GAS,Alpine,1.0,0 days 00:01:42.172000,8.0,1.0,MEDIUM,1.0
GAS,Alpine,2.0,0 days 00:01:37.056000,8.0,1.0,MEDIUM,2.0
GAS,Alpine,3.0,0 days 00:01:36.044000,8.0,1.0,MEDIUM,3.0
GAS,Alpine,4.0,0 days 00:01:36.291000,8.0,1.0,MEDIUM,4.0
GAS,Alpine,5.0,0 days 00:01:35.973000,8.0,1.0,MEDIUM,5.0
GAS,Alpine,6.0,0 days 00:01:35.837000,8.0,1.0,MEDIUM,6.0
GAS,Alpine,7.0,0 days 00:01:37.137000,9.0,1.0,MEDIUM,7.0
GAS,Alpine,8.0,0 days 00:01:36.645000,9.0,1.0,MEDIUM,8.0
GAS,Alpine,9.0,0 days 00:01:36.549000,10.0,1.0,MEDIUM,9.0
GAS,Alpine,10.0,0 days 00:01:36.262000,10.0,1.0,MEDIUM,10.0
GAS,Alpine,11.0,0 days 00:01:36.022000,10.0,1.0,MEDIUM,11.0
GAS,Alpine,12.0,0 days 00:01:36.128000,10.0,1.0,MEDIUM,12.0
GAS,Alpine,13.0,0 days 00:01:36.170000,10.0,1.0,MEDIUM,13.0
GAS,Alpine,14.0,0 days 00:01:38.551000,9.0,1.0,MEDIUM,14.0
GAS,Alpine,15.0,0 days 00:01:53.128000,14.0,2.0,HARD,1.0
GAS,Alpine,16.0,0 days 00:01:35.536000,14.0,2.0,HARD,2.0
GAS,Alpine,17.0,0 days 00:01:47.735000,13.0,2.0,HARD,3.0
GAS,Alpine,18.0,0 days 00:02:15.212000,11.0,2.0,HARD,4.0
GAS,Alpine,19.0,0 days 00:02:12.712000,10.0,2.0,HARD,5.0
GAS,Alpine,21.0,0 days 00:01:38.374000,10.0,2.0,HARD,7.0
GAS,Alpine,22.0,0 days 00:01:36.576000,10.0,2.0,HARD,8.0
GAS,Alpine,23.0,0 days 00:01:35.918000,10.0,2.0,HARD,9.0
GAS,Alpine,24.0,0 days 00:01:35.322000,10.0,2.0,HARD,10.0
GAS,Alpine,25.0,0 days 00:01:35.270000,9.0,2.0,HARD,11.0
GAS,Alpine,26.0,0 days 00:01:35.105000,9.0,2.0,HARD,12.0
GAS,Alpine,27.0,0 days 00:01:35,9.0,2.0,HARD,13.0
GAS,Alpine,28.0,0 days 00:01:34.650000,9.0,2.0,HARD,14.0
GAS,Alpine,29.0,0 days 00:01:34.601000,9.0,2.0,HARD,15.0
GAS,Alpine,30.0,0 days 00:01:34.869000,9.0,2.0,HARD,16.0
GAS,Alpine,31.0,0 days 00:01:34.735000,9.0,2.0,HARD,17.0
GAS,Alpine,32.0,0 days 00:01:34.626000,9.0,2.0,HARD,18.0
GAS,Alpine,33.0,0 days 00:01:34.516000,9.0,2.0,HARD,19.0
GAS,Alpine,34.0,0 days 00:01:34.394000,9.0,2.0,HARD,20.0
GAS,Alpine,35.0,0 days 00:01:34.500000,9.0,2.0,HARD,21.0
GAS,Alpine,36.0,0 days 00:01:34.436000,9.0,2.0,HARD,22.0
GAS,Alpine,37.0,0 days 00:01:34.289000,9.0,2.0,HARD,23.0
GAS,Alpine,38.0,0 days 00:01:34.355000,9.0,2.0,HARD,24.0
GAS,Alpine,39.0,0 days 00:01:33.929000,9.0,2.0,HARD,25.0
GAS,Alpine,40.0,0 days 00:01:34.110000,9.0,2.0,HARD,26.0
GAS,Alpine,41.0,0 days 00:01:33.829000,9.0,2.0,HARD,27.0
GAS,Alpine,42.0,0 days 00:01:33.960000,9.0,2.0,HARD,28.0
GAS,Alpine,43.0,0 days 00:01:34.026000,9.0,2.0,HARD,29.0
GAS,Alpine,44.0,0 days 00:01:34.131000,9.0,2.0,HARD,30.0
GAS,Alpine,45.0,0 days 00:01:33.820000,9.0,2.0,HARD,31.0
GAS,Alpine,46.0,0 days 00:01:34.068000,9.0,2.0,HARD,32.0
GAS,Alpine,47.0,0 days 00:01:33.810000,9.0,2.0,HARD,33.0
GAS,Alpine,48.0,0 days 00:01:33.624000,9.0,2.0,HARD,34.0
GAS,Alpine,49.0,0 days 00:01:33.614000,9.0,2.0,HARD,35.0
GAS,Alpine,50.0,0 days 00:01:33.392000,9.0,2.0,HARD,36.0
PER,Red Bull Racing,1.0,0 days 00:01:37.257000,2.0,1.0,MEDIUM,1.0
PER,Red Bull Racing,2.0,0 days 00:01:35.906000,2.0,1.0,MEDIUM,2.0
PER,Red Bull Racing,3.0,0 days 00:01:34.829000,2.0,1.0,MEDIUM,3.0
PER,Red Bull Racing,4.0,0 days 00:01:35.651000,1.0,1.0,MEDIUM,4.0
PER,Red Bull Racing,5.0,0 days 00:01:34.873000,1.0,1.0,MEDIUM,5.0
PER,Red Bull Racing,6.0,0 days 00:01:34.621000,1.0,1.0,MEDIUM,6.0
PER,Red Bull Racing,7.0,0 days 00:01:34.277000,1.0,1.0,MEDIUM,7.0
PER,Red Bull Racing,8.0,0 days 00:01:34.477000,1.0,1.0,MEDIUM,8.0
PER,Red Bull Racing,9.0,0 days 00:01:34.255000,1.0,1.0,MEDIUM,9.0
PER,Red Bull Racing,10.0,0 days 00:01:34.106000,1.0,1.0,MEDIUM,10.0
PER,Red Bull Racing,11.0,0 days 00:01:34.075000,1.0,1.0,MEDIUM,11.0
PER,Red Bull Racing,12.0,0 days 00:01:34.160000,1.0,1.0,MEDIUM,12.0
PER,Red Bull Racing,13.0,0 days 00:01:34.263000,1.0,1.0,MEDIUM,13.0
PER,Red Bull Racing,14.0,0 days 00:01:34.409000,1.0,1.0,MEDIUM,14.0
PER,Red Bull Racing,15.0,0 days 00:01:34.392000,1.0,1.0,MEDIUM,15.0
PER,Red Bull Racing,16.0,0 days 00:01:34.190000,1.0,1.0,MEDIUM,16.0
PER,Red Bull Racing,17.0,0 days 00:01:33.961000,1.0,1.0,MEDIUM,17.0
PER,Red Bull Racing,18.0,0 days 00:02:07.357000,1.0,1.0,MEDIUM,18.0
PER,Red Bull Racing,21.0,0 days 00:01:34.557000,1.0,2.0,HARD,3.0
PER,Red Bull Racing,22.0,0 days 00:01:33.895000,1.0,2.0,HARD,4.0
PER,Red Bull Racing,23.0,0 days 00:01:33.464000,1.0,2.0,HARD,5.0
PER,Red Bull Racing,24.0,0 days 00:01:33.440000,1.0,2.0,HARD,6.0
PER,Red Bull Racing,25.0,0 days 00:01:33.426000,1.0,2.0,HARD,7.0
PER,Red Bull Racing,26.0,0 days 00:01:33.072000,1.0,2.0,HARD,8.0
PER,Red Bull Racing,27.0,0 days 00:01:32.891000,1.0,2.0,HARD,9.0
PER,Red Bull Racing,28.0,0 days 00:01:33.025000,1.0,2.0,HARD,10.0
PER,Red Bull Racing,29.0,0 days 00:01:32.726000,1.0,2.0,HARD,11.0
PER,Red Bull Racing,30.0,0 days 00:01:32.726000,1.0,2.0,HARD,12.0
PER,Red Bull Racing,31.0,0 days 00:01:32.554000,1.0,2.0,HARD,13.0
PER,Red Bull Racing,32.0,0 days 00:01:32.498000,1.0,2.0,HARD,14.0
PER,Red Bull Racing,33.0,0 days 00:01:32.550000,1.0,2.0,HARD,15.0
PER,Red Bull Racing,34.0,0 days 00:01:32.294000,1.0,2.0,HARD,16.0
PER,Red Bull Racing,35.0,0 days 00:01:32.680000,1.0,2.0,HARD,17.0
PER,Red Bull Racing,36.0,0 days 00:01:32.292000,1.0,2.0,HARD,18.0
PER,Red Bull Racing,37.0,0 days 00:01:32.638000,1.0,2.0,HARD,19.0
PER,Red Bull Racing,38.0,0 days 00:01:32.188000,1.0,2.0,HARD,20.0
PER,Red Bull Racing,39.0,0 days 00:01:33.190000,1.0,2.0,HARD,21.0
PER,Red Bull Racing,40.0,0 days 00:01:32.830000,1.0,2.0,HARD,22.0
PER,Red Bull Racing,41.0,0 days 00:01:32.637000,1.0,2.0,HARD,23.0
PER,Red Bull Racing,42.0,0 days 00:01:32.235000,1.0,2.0,HARD,24.0
PER,Red Bull Racing,43.0,0 days 00:01:32.308000,1.0,2.0,HARD,25.0
PER,Red Bull Racing,44.0,0 days 00:01:32.267000,1.0,2.0,HARD,26.0
PER,Red Bull Racing,45.0,0 days 00:01:32.419000,1.0,2.0,HARD,27.0
PER,Red Bull Racing,46.0,0 days 00:01:32.933000,1.0,2.0,HARD,28.0
PER,Red Bull Racing,47.0,0 days 00:01:32.895000,1.0,2.0,HARD,29.0
PER,Red Bull Racing,48.0,0 days 00:01:33.075000,1.0,2.0,HARD,30.0
PER,Red Bull Racing,49.0,0 days 00:01:33.306000,1.0,2.0,HARD,31.0
