Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,1.0,0 days 00:01:41.571000,3.0,1.0,MEDIUM,1.0
VER,Red Bull Racing,2.0,0 days 00:02:12.105000,3.0,1.0,MEDIUM,2.0
VER,Red Bull Racing,3.0,0 days 00:02:10.657000,3.0,1.0,MEDIUM,3.0
VER,Red Bull Racing,4.0,0 days 00:01:23.391000,3.0,1.0,MEDIUM,4.0
VER,Red Bull Racing,5.0,0 days 00:01:23.104000,3.0,1.0,MEDIUM,5.0
VER,Red Bull Racing,6.0,0 days 00:01:22.843000,3.0,1.0,MEDIUM,6.0
VER,Red Bull Racing,7.0,0 days 00:01:35.070000,2.0,1.0,MEDIUM,7.0
VER,Red Bull Racing,10.0,0 days 00:01:27.827000,2.0,2.0,HARD,2.0
VER,Red Bull Racing,11.0,0 days 00:01:23.460000,2.0,2.0,HARD,3.0
VER,Red Bull Racing,12.0,0 days 00:01:21.994000,1.0,2.0,HARD,4.0
VER,Red Bull Racing,13.0,0 days 00:01:23.286000,1.0,2.0,HARD,5.0
VER,Red Bull Racing,14.0,0 days 00:01:22.869000,1.0,2.0,HARD,6.0
VER,Red Bull Racing,15.0,0 days 00:01:22.817000,1.0,2.0,HARD,7.0
VER,Red Bull Racing,16.0,0 days 00:01:22.599000,1.0,2.0,HARD,8.0
VER,Red Bull Racing,17.0,0 days 00:01:22.595000,1.0,2.0,HARD,9.0
VER,Red Bull Racing,18.0,0 days 00:01:40.315000,1.0,2.0,HARD,10.0
VER,Red Bull Racing,19.0,0 days 00:01:43.750000,1.0,2.0,HARD,11.0
VER,Red Bull Racing,20.0,0 days 00:01:22.389000,1.0,2.0,HARD,12.0
VER,Red Bull Racing,21.0,0 days 00:01:22.110000,1.0,2.0,HARD,13.0
VER,Red Bull Racing,22.0,0 days 00:01:22.269000,1.0,2.0,HARD,14.0
VER,Red Bull Racing,23.0,0 days 00:01:22.193000,1.0,2.0,HARD,15.0
VER,Red Bull Racing,24.0,0 days 00:01:21.843000,1.0,2.0,HARD,16.0
