Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,1.0,0 days 00:01:50.456000,2.0,1.0,MEDIUM,1.0
VER,Red Bull Racing,2.0,0 days 00:01:47.707000,2.0,1.0,MEDIUM,2.0
VER,Red Bull Racing,3.0,0 days 00:01:47.677000,1.0,1.0,MEDIUM,3.0
VER,Red Bull Racing,4.0,0 days 00:01:47.108000,1.0,1.0,MEDIUM,4.0
VER,Red Bull Racing,5.0,0 days 00:01:47.476000,1.0,1.0,MEDIUM,5.0
VER,Red Bull Racing,6.0,0 days 00:01:47.202000,1.0,1.0,MEDIUM,6.0
VER,Red Bull Racing,7.0,0 days 00:01:46.995000,1.0,1.0,MEDIUM,7.0
VER,Red Bull Racing,8.0,0 days 00:01:46.801000,1.0,1.0,MEDIUM,8.0
VER,Red Bull Racing,9.0,0 days 00:01:46.944000,1.0,1.0,MEDIUM,9.0
VER,Red Bull Racing,10.0,0 days 00:01:50.778000,3.0,1.0,MEDIUM,10.0
VER,Red Bull Racing,14.0,0 days 00:01:46.936000,2.0,2.0,HARD,4.0
VER,Red Bull Racing,15.0,0 days 00:01:45.687000,2.0,2.0,HARD,5.0
VER,Red Bull Racing,16.0,0 days 00:01:45.497000,2.0,2.0,HARD,6.0
VER,Red Bull Racing,17.0,0 days 00:01:45.498000,2.0,2.0,HARD,7.0
VER,Red Bull Racing,18.0,0 days 00:01:45.425000,2.0,2.0,HARD,8.0
VER,Red Bull Racing,19.0,0 days 00:01:45.660000,2.0,2.0,HARD,9.0
VER,Red Bull Racing,20.0,0 days 00:01:45.446000,2.0,2.0,HARD,10.0
VER,Red Bull Racing,21.0,0 days 00:01:45.793000,2.0,2.0,HARD,11.0
VER,Red Bull Racing,22.0,0 days 00:01:45.670000,2.0,2.0,HARD,12.0
VER,Red Bull Racing,23.0,0 days 00:01:45.902000,2.0,2.0,HARD,13.0
VER,Red Bull Racing,24.0,0 days 00:01:45.738000,2.0,2.0,HARD,14.0
VER,Red Bull Racing,25.0,0 days 00:01:45.657000,2.0,2.0,HARD,15.0
VER,Red Bull Racing,26.0,0 days 00:01:45.855000,2.0,2.0,HARD,16.0
VER,Red Bull Racing,27.0,0 days 00:01:45.625000,2.0,2.0,HARD,17.0
VER,Red Bull Racing,28.0,0 days 00:01:45.694000,2.0,2.0,HARD,18.0
VER,Red Bull Racing,29.0,0 days 00:01:46.365000,2.0,2.0,HARD,19.0
VER,Red Bull Racing,30.0,0 days 00:01:45.575000,2.0,2.0,HARD,20.0
VER,Red Bull Racing,31.0,0 days 00:01:45.348000,2.0,2.0,HARD,21.0
VER,Red Bull Racing,32.0,0 days 00:01:45.354000,2.0,2.0,HARD,22.0
VER,Red Bull Racing,33.0,0 days 00:01:45.343000,2.0,2.0,HARD,23.0
VER,Red Bull Racing,34.0,0 days 00:01:45.218000,2.0,2.0,HARD,24.0
VER,Red Bull Racing,35.0,0 days 00:01:45.121000,2.0,2.0,HARD,25.0
VER,Red Bull Racing,36.0,0 days 00:01:45.050000,2.0,2.0,HARD,26.0
VER,Red Bull Racing,37.0,0 days 00:01:45.319000,2.0,2.0,HARD,27.0
VER,Red Bull Racing,38.0,0 days 00:01:45.474000,2.0,2.0,HARD,28.0
VER,Red Bull Racing,39.0,0 days 00:01:45.150000,2.0,2.0,HARD,29.0
VER,Red Bull Racing,40.0,0 days 00:01:45.418000,2.0,2.0,HARD,30.0
VER,Red Bull Racing,41.0,0 days 00:01:45.123000,2.0,2.0,HARD,31.0
VER,Red Bull Racing,42.0,0 days 00:01:45.150000,2.0,2.0,HARD,32.0
VER,Red Bull Racing,43.0,0 days 00:01:44.843000,2.0,2.0,HARD,33.0
VER,Red Bull Racing,44.0,0 days 00:01:45.275000,2.0,2.0,HARD,34.0
VER,Red Bull Racing,45.0,0 days 00:01:45.140000,2.0,2.0,HARD,35.0
VER,Red Bull Racing,46.0,0 days 00:01:44.686000,2.0,2.0,HARD,36.0
VER,Red Bull Racing,47.0,0 days 00:01:44.734000,2.0,2.0,HARD,37.0
VER,Red Bull Racing,48.0,0 days 00:01:44.566000,2.0,2.0,HARD,38.0
VER,Red Bull Racing,49.0,0 days 00:01:44.474000,2.0,2.0,HARD,39.0
VER,Red Bull Racing,50.0,0 days 00:01:44.554000,2.0,2.0,HARD,40.0
VER,Red Bull Racing,51.0,0 days 00:01:44.232000,2.0,2.0,HARD,41.0
GAS,Alpine,1.0,0 days 00:01:59.785000,15.0,1.0,MEDIUM,1.0
GAS,Alpine,2.0,0 days 00:01:49.990000,15.0,1.0,MEDIUM,2.0
GAS,Alpine,3.0,0 days 00:01:49.075000,15.0,1.0,MEDIUM,3.0
GAS,Alpine,4.0,0 days 00:01:48.873000,15.0,1.0,MEDIUM,4.0
GAS,Alpine,5.0,0 days 00:01:53.152000,19.0,1.0,MEDIUM,5.0
GAS,Alpine,6.0,0 days 00:02:04.865000,20.0,2.0,HARD,1.0
GAS,Alpine,7.0,0 days 00:01:47.722000,19.0,2.0,HARD,2.0
GAS,Alpine,8.0,0 days 00:01:49.057000,19.0,2.0,HARD,3.0
GAS,Alpine,9.0,0 days 00:01:47.851000,18.0,2.0,HARD,4.0
GAS,Alpine,10.0,0 days 00:02:02.028000,17.0,2.0,HARD,5.0
GAS,Alpine,11.0,0 days 00:02:28.597000,16.0,2.0,HARD,6.0
GAS,Alpine,12.0,0 days 00:02:16.496000,16.0,2.0,HARD,7.0
GAS,Alpine,13.0,0 days 00:02:26.528000,16.0,2.0,HARD,8.0
GAS,Alpine,14.0,0 days 00:01:52.872000,15.0,2.0,HARD,9.0
GAS,Alpine,15.0,0 days 00:01:48.951000,15.0,2.0,HARD,10.0
GAS,Alpine,16.0,0 days 00:01:48.072000,15.0,2.0,HARD,11.0
GAS,Alpine,17.0,0 days 00:01:47.915000,15.0,2.0,HARD,12.0
GAS,Alpine,18.0,0 days 00:01:47.570000,15.0,2.0,HARD,13.0
GAS,Alpine,19.0,0 days 00:01:48.031000,15.0,2.0,HARD,14.0
GAS,Alpine,20.0,0 days 00:01:47.796000,15.0,2.0,HARD,15.0
GAS,Alpine,21.0,0 days 00:01:47.873000,15.0,2.0,HARD,16.0
GAS,Alpine,22.0,0 days 00:01:48.054000,15.0,2.0,HARD,17.0
GAS,Alpine,23.0,0 days 00:01:52.208000,16.0,2.0,HARD,18.0
GAS,Alpine,24.0,0 days 00:02:04.713000,19.0,3.0,HARD,1.0
GAS,Alpine,25.0,0 days 00:01:46.561000,19.0,3.0,HARD,2.0
GAS,Alpine,26.0,0 days 00:01:46.173000,19.0,3.0,HARD,3.0
GAS,Alpine,27.0,0 days 00:01:46.462000,19.0,3.0,HARD,4.0
GAS,Alpine,28.0,0 days 00:01:46.430000,19.0,3.0,HARD,5.0
GAS,Alpine,29.0,0 days 00:01:46.547000,19.0,3.0,HARD,6.0
GAS,Alpine,30.0,0 days 00:01:46.601000,19.0,3.0,HARD,7.0
GAS,Alpine,31.0,0 days 00:01:46.646000,19.0,3.0,HARD,8.0
GAS,Alpine,32.0,0 days 00:01:47.951000,19.0,3.0,HARD,9.0
GAS,Alpine,33.0,0 days 00:01:46.903000,18.0,3.0,HARD,10.0
GAS,Alpine,34.0,0 days 00:01:46.481000,18.0,3.0,HARD,11.0
GAS,Alpine,35.0,0 days 00:01:46.639000,18.0,3.0,HARD,12.0
GAS,Alpine,36.0,0 days 00:01:46.540000,17.0,3.0,HARD,13.0
GAS,Alpine,37.0,0 days 00:01:46.491000,17.0,3.0,HARD,14.0
GAS,Alpine,38.0,0 days 00:01:47.075000,17.0,3.0,HARD,15.0
GAS,Alpine,39.0,0 days 00:01:47.215000,17.0,3.0,HARD,16.0
GAS,Alpine,40.0,0 days 00:01:47.919000,17.0,3.0,HARD,17.0
GAS,Alpine,41.0,0 days 00:01:47.206000,17.0,3.0,HARD,18.0
GAS,Alpine,42.0,0 days 00:01:47.076000,17.0,3.0,HARD,19.0
GAS,Alpine,43.0,0 days 00:01:46.863000,16.0,3.0,HARD,20.0
GAS,Alpine,44.0,0 days 00:01:46.048000,16.0,3.0,HARD,21.0
GAS,Alpine,45.0,0 days 00:01:45.915000,16.0,3.0,HARD,22.0
GAS,Alpine,46.0,0 days 00:01:45.776000,16.0,3.0,HARD,23.0
GAS,Alpine,47.0,0 days 00:01:45.540000,16.0,3.0,HARD,24.0
GAS,Alpine,48.0,0 days 00:01:45.556000,16.0,3.0,HARD,25.0
GAS,Alpine,49.0,0 days 00:01:45.582000,15.0,3.0,HARD,26.0
GAS,Alpine,50.0,0 days 00:01:45.599000,15.0,3.0,HARD,27.0
GAS,Alpine,51.0,0 days 00:01:45.899000,14.0,3.0,HARD,28.0
PER,Red Bull Racing,1.0,0 days 00:01:51.373000,3.0,1.0,MEDIUM,1.0
PER,Red Bull Racing,2.0,0 days 00:01:47.717000,3.0,1.0,MEDIUM,2.0
PER,Red Bull Racing,3.0,0 days 00:01:47.657000,3.0,1.0,MEDIUM,3.0
PER,Red Bull Racing,4.0,0 days 00:01:47.404000,3.0,1.0,MEDIUM,4.0
