Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,1.0,0 days 00:01:41.724000,9.0,1.0,HARD,1.0
VER,Red Bull Racing,2.0,0 days 00:01:34.260000,8.0,1.0,HARD,2.0
VER,Red Bull Racing,3.0,0 days 00:01:34.127000,8.0,1.0,HARD,3.0
VER,Red Bull Racing,4.0,0 days 00:01:32.935000,6.0,1.0,HARD,4.0
VER,Red Bull Racing,5.0,0 days 00:01:32.875000,6.0,1.0,HARD,5.0
VER,Red Bull Racing,6.0,0 days 00:01:32.753000,6.0,1.0,HARD,6.0
VER,Red Bull Racing,7.0,0 days 00:01:32.555000,6.0,1.0,HARD,7.0
VER,Red Bull Racing,8.0,0 days 00:01:32.947000,5.0,1.0,HARD,8.0
VER,Red Bull Racing,9.0,0 days 00:01:32.988000,4.0,1.0,HARD,9.0
VER,Red Bull Racing,10.0,0 days 00:01:32.740000,4.0,1.0,HARD,10.0
VER,Red Bull Racing,11.0,0 days 00:01:32.251000,4.0,1.0,HARD,11.0
VER,Red Bull Racing,12.0,0 days 00:01:32.304000,4.0,1.0,HARD,12.0
VER,Red Bull Racing,13.0,0 days 00:01:31.736000,4.0,1.0,HARD,13.0
VER,Red Bull Racing,14.0,0 days 00:01:32.193000,3.0,1.0,HARD,14.0
VER,Red Bull Racing,15.0,0 days 00:01:32.433000,2.0,1.0,HARD,15.0
VER,Red Bull Racing,16.0,0 days 00:01:32.333000,2.0,1.0,HARD,16.0
VER,Red Bull Racing,17.0,0 days 00:01:32.455000,2.0,1.0,HARD,17.0
VER,Red Bull Racing,18.0,0 days 00:01:32.124000,2.0,1.0,HARD,18.0
VER,Red Bull Racing,19.0,0 days 00:01:32.073000,2.0,1.0,HARD,19.0
VER,Red Bull Racing,20.0,0 days 00:01:32.203000,1.0,1.0,HARD,20.0
VER,Red Bull Racing,21.0,0 days 00:01:32.351000,1.0,1.0,HARD,21.0
VER,Red Bull Racing,22.0,0 days 00:01:32.267000,1.0,1.0,HARD,22.0
VER,Red Bull Racing,23.0,0 days 00:01:31.906000,1.0,1.0,HARD,23.0
VER,Red Bull Racing,24.0,0 days 00:01:32.126000,1.0,1.0,HARD,24.0
VER,Red Bull Racing,25.0,0 days 00:01:31.919000,1.0,1.0,HARD,25.0
VER,Red Bull Racing,26.0,0 days 00:01:31.922000,1.0,1.0,HARD,26.0
VER,Red Bull Racing,27.0,0 days 00:01:31.829000,1.0,1.0,HARD,27.0
VER,Red Bull Racing,28.0,0 days 00:01:31.776000,1.0,1.0,HARD,28.0
VER,Red Bull Racing,29.0,0 days 00:01:31.820000,1.0,1.0,HARD,29.0
VER,Red Bull Racing,30.0,0 days 00:01:32.484000,1.0,1.0,HARD,30.0
VER,Red Bull Racing,31.0,0 days 00:01:31.627000,1.0,1.0,HARD,31.0
VER,Red Bull Racing,32.0,0 days 00:01:31.293000,1.0,1.0,HARD,32.0
VER,Red Bull Racing,33.0,0 days 00:01:31.481000,1.0,1.0,HARD,33.0
VER,Red Bull Racing,34.0,0 days 00:01:31.430000,1.0,1.0,HARD,34.0
VER,Red Bull Racing,35.0,0 days 00:01:31.225000,1.0,1.0,HARD,35.0
VER,Red Bull Racing,36.0,0 days 00:01:31.384000,1.0,1.0,HARD,36.0
VER,Red Bull Racing,37.0,0 days 00:01:31.268000,1.0,1.0,HARD,37.0
VER,Red Bull Racing,38.0,0 days 00:01:31.199000,1.0,1.0,HARD,38.0
VER,Red Bull Racing,39.0,0 days 00:01:31.444000,1.0,1.0,HARD,39.0
VER,Red Bull Racing,40.0,0 days 00:01:31.288000,1.0,1.0,HARD,40.0
VER,Red Bull Racing,41.0,0 days 00:01:31.004000,1.0,1.0,HARD,41.0
VER,Red Bull Racing,42.0,0 days 00:01:31.122000,1.0,1.0,HARD,42.0
VER,Red Bull Racing,43.0,0 days 00:01:30.988000,1.0,1.0,HARD,43.0
VER,Red Bull Racing,44.0,0 days 00:01:31.056000,1.0,1.0,HARD,44.0
VER,Red Bull Racing,45.0,0 days 00:01:35.856000,1.0,1.0,HARD,45.0
VER,Red Bull Racing,46.0,0 days 00:01:46.123000,2.0,2.0,MEDIUM,1.0
VER,Red Bull Racing,47.0,0 days 00:01:31.179000,2.0,2.0,MEDIUM,2.0
VER,Red Bull Racing,48.0,0 days 00:01:30.637000,1.0,2.0,MEDIUM,3.0
VER,Red Bull Racing,49.0,0 days 00:01:30.910000,1.0,2.0,MEDIUM,4.0
VER,Red Bull Racing,50.0,0 days 00:01:30.837000,1.0,2.0,MEDIUM,5.0
VER,Red Bull Racing,51.0,0 days 00:01:30.699000,1.0,2.0,MEDIUM,6.0
VER,Red Bull Racing,52.0,0 days 00:01:30.372000,1.0,2.0,MEDIUM,7.0
VER,Red Bull Racing,53.0,0 days 00:01:30.546000,1.0,2.0,MEDIUM,8.0
VER,Red Bull Racing,54.0,0 days 00:01:30.492000,1.0,2.0,MEDIUM,9.0
VER,Red Bull Racing,55.0,0 days 00:01:30.391000,1.0,2.0,MEDIUM,10.0
VER,Red Bull Racing,56.0,0 days 00:01:29.708000,1.0,2.0,MEDIUM,11.0
VER,Red Bull Racing,57.0,0 days 00:01:30.273000,1.0,2.0,MEDIUM,12.0
PER,Red Bull Racing,1.0,0 days 00:01:36.191000,1.0,1.0,MEDIUM,1.0
PER,Red Bull Racing,2.0,0 days 00:01:33.963000,1.0,1.0,MEDIUM,2.0
PER,Red Bull Racing,3.0,0 days 00:01:33.516000,1.0,1.0,MEDIUM,3.0
PER,Red Bull Racing,4.0,0 days 00:01:33.079000,1.0,1.0,MEDIUM,4.0
PER,Red Bull Racing,5.0,0 days 00:01:33.258000,1.0,1.0,MEDIUM,5.0
PER,Red Bull Racing,6.0,0 days 00:01:33.362000,1.0,1.0,MEDIUM,6.0
PER,Red Bull Racing,7.0,0 days 00:01:32.865000,1.0,1.0,MEDIUM,7.0
PER,Red Bull Racing,8.0,0 days 00:01:33.142000,1.0,1.0,MEDIUM,8.0
PER,Red Bull Racing,9.0,0 days 00:01:33.096000,1.0,1.0,MEDIUM,9.0
PER,Red Bull Racing,10.0,0 days 00:01:32.599000,1.0,1.0,MEDIUM,10.0
PER,Red Bull Racing,11.0,0 days 00:01:32.478000,1.0,1.0,MEDIUM,11.0
PER,Red Bull Racing,12.0,0 days 00:01:32.370000,1.0,1.0,MEDIUM,12.0
PER,Red Bull Racing,13.0,0 days 00:01:31.916000,1.0,1.0,MEDIUM,13.0
PER,Red Bull Racing,14.0,0 days 00:01:32.624000,1.0,1.0,MEDIUM,14.0
PER,Red Bull Racing,15.0,0 days 00:01:32.603000,1.0,1.0,MEDIUM,15.0
PER,Red Bull Racing,16.0,0 days 00:01:33.063000,1.0,1.0,MEDIUM,16.0
PER,Red Bull Racing,17.0,0 days 00:01:32.903000,1.0,1.0,MEDIUM,17.0
PER,Red Bull Racing,18.0,0 days 00:01:32.491000,1.0,1.0,MEDIUM,18.0
PER,Red Bull Racing,19.0,0 days 00:01:32.700000,1.0,1.0,MEDIUM,19.0
PER,Red Bull Racing,20.0,0 days 00:01:37.863000,3.0,1.0,MEDIUM,20.0
PER,Red Bull Racing,21.0,0 days 00:01:46.826000,4.0,2.0,HARD,1.0
PER,Red Bull Racing,22.0,0 days 00:01:31.533000,3.0,2.0,HARD,2.0
PER,Red Bull Racing,23.0,0 days 00:01:31.864000,3.0,2.0,HARD,3.0
PER,Red Bull Racing,24.0,0 days 00:01:31.446000,3.0,2.0,HARD,4.0
PER,Red Bull Racing,25.0,0 days 00:01:31.444000,2.0,2.0,HARD,5.0
