Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,1.0,0 days 00:01:24.238000,1.0,1.0,MEDIUM,1.0
VER,Red Bull Racing,2.0,0 days 00:01:19.367000,1.0,1.0,MEDIUM,2.0
VER,Red Bull Racing,3.0,0 days 00:01:19.074000,1.0,1.0,MEDIUM,3.0
VER,Red Bull Racing,4.0,0 days 00:01:18.129000,1.0,1.0,MEDIUM,4.0
VER,Red Bull Racing,5.0,0 days 00:01:18.019000,1.0,1.0,MEDIUM,5.0
VER,Red Bull Racing,6.0,0 days 00:01:17.640000,1.0,1.0,MEDIUM,6.0
VER,Red Bull Racing,7.0,0 days 00:01:17.633000,1.0,1.0,MEDIUM,7.0
VER,Red Bull Racing,8.0,0 days 00:01:17.397000,1.0,1.0,MEDIUM,8.0
VER,Red Bull Racing,9.0,0 days 00:01:17.031000,1.0,1.0,MEDIUM,9.0
VER,Red Bull Racing,10.0,0 days 00:01:17.084000,1.0,1.0,MEDIUM,10.0
VER,Red Bull Racing,11.0,0 days 00:01:16.858000,1.0,1.0,MEDIUM,11.0
VER,Red Bull Racing,12.0,0 days 00:01:16.993000,1.0,1.0,MEDIUM,12.0
VER,Red Bull Racing,13.0,0 days 00:01:17.434000,1.0,1.0,MEDIUM,13.0
VER,Red Bull Racing,14.0,0 days 00:01:17.065000,1.0,1.0,MEDIUM,14.0
VER,Red Bull Racing,15.0,0 days 00:01:17.079000,1.0,1.0,MEDIUM,15.0
VER,Red Bull Racing,16.0,0 days 00:01:16.824000,1.0,1.0,MEDIUM,16.0
VER,Red Bull Racing,17.0,0 days 00:01:16.860000,1.0,1.0,MEDIUM,17.0
VER,Red Bull Racing,18.0,0 days 00:01:16.712000,1.0,1.0,MEDIUM,18.0
VER,Red Bull Racing,19.0,0 days 00:01:16.823000,1.0,1.0,MEDIUM,19.0
VER,Red Bull Racing,20.0,0 days 00:01:17.214000,1.0,1.0,MEDIUM,20.0
VER,Red Bull Racing,21.0,0 days 00:01:16.803000,1.0,1.0,MEDIUM,21.0
VER,Red Bull Racing,22.0,0 days 00:01:16.659000,1.0,1.0,MEDIUM,22.0
VER,Red Bull Racing,23.0,0 days 00:01:16.604000,1.0,1.0,MEDIUM,23.0
VER,Red Bull Racing,24.0,0 days 00:01:16.798000,1.0,1.0,MEDIUM,24.0
VER,Red Bull Racing,25.0,0 days 00:01:17.183000,1.0,1.0,MEDIUM,25.0
VER,Red Bull Racing,26.0,0 days 00:01:17.212000,1.0,1.0,MEDIUM,26.0
VER,Red Bull Racing,27.0,0 days 00:01:17.259000,1.0,1.0,MEDIUM,27.0
VER,Red Bull Racing,28.0,0 days 00:01:17.770000,1.0,1.0,MEDIUM,28.0
VER,Red Bull Racing,29.0,0 days 00:01:18.001000,1.0,1.0,MEDIUM,29.0
VER,Red Bull Racing,30.0,0 days 00:01:18.160000,1.0,1.0,MEDIUM,30.0
VER,Red Bull Racing,31.0,0 days 00:01:18.741000,1.0,1.0,MEDIUM,31.0
VER,Red Bull Racing,32.0,0 days 00:01:18.816000,1.0,1.0,MEDIUM,32.0
VER,Red Bull Racing,33.0,0 days 00:01:18.946000,1.0,1.0,MEDIUM,33.0
VER,Red Bull Racing,34.0,0 days 00:01:18.044000,1.0,1.0,MEDIUM,34.0
VER,Red Bull Racing,35.0,0 days 00:01:18.024000,1.0,1.0,MEDIUM,35.0
VER,Red Bull Racing,36.0,0 days 00:01:17.974000,1.0,1.0,MEDIUM,36.0
VER,Red Bull Racing,37.0,0 days 00:01:17.273000,1.0,1.0,MEDIUM,37.0
VER,Red Bull Racing,38.0,0 days 00:01:17.122000,1.0,1.0,MEDIUM,38.0
VER,Red Bull Racing,39.0,0 days 00:01:16.966000,1.0,1.0,MEDIUM,39.0
VER,Red Bull Racing,40.0,0 days 00:01:17.161000,1.0,1.0,MEDIUM,40.0
VER,Red Bull Racing,41.0,0 days 00:01:16.944000,1.0,1.0,MEDIUM,41.0
VER,Red Bull Racing,42.0,0 days 00:01:16.800000,1.0,1.0,MEDIUM,42.0
