Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,1.0,0 days 00:01:23.935000,1.0,1.0,MEDIUM,1.0
VER,Red Bull Racing,2.0,0 days 00:01:20.402000,1.0,1.0,MEDIUM,2.0
VER,Red Bull Racing,3.0,0 days 00:01:20.499000,1.0,1.0,MEDIUM,3.0
VER,Red Bull Racing,4.0,0 days 00:01:20.346000,1.0,1.0,MEDIUM,4.0
VER,Red Bull Racing,5.0,0 days 00:01:20.283000,1.0,1.0,MEDIUM,5.0
VER,Red Bull Racing,6.0,0 days 00:01:20.402000,1.0,1.0,MEDIUM,6.0
VER,Red Bull Racing,7.0,0 days 00:01:20.476000,1.0,1.0,MEDIUM,7.0
VER,Red Bull Racing,8.0,0 days 00:01:19.894000,1.0,1.0,MEDIUM,8.0
VER,Red Bull Racing,9.0,0 days 00:01:20.282000,1.0,1.0,MEDIUM,9.0
VER,Red Bull Racing,10.0,0 days 00:01:20.334000,1.0,1.0,MEDIUM,10.0
VER,Red Bull Racing,11.0,0 days 00:01:20.520000,1.0,1.0,MEDIUM,11.0
VER,Red Bull Racing,12.0,0 days 00:01:20.442000,1.0,1.0,MEDIUM,12.0
VER,Red Bull Racing,13.0,0 days 00:01:20.178000,1.0,1.0,MEDIUM,13.0
VER,Red Bull Racing,14.0,0 days 00:01:20.378000,1.0,1.0,MEDIUM,14.0
VER,Red Bull Racing,15.0,0 days 00:01:20.282000,1.0,1.0,MEDIUM,15.0
VER,Red Bull Racing,16.0,0 days 00:01:20.186000,1.0,1.0,MEDIUM,16.0
VER,Red Bull Racing,17.0,0 days 00:01:20.344000,1.0,1.0,MEDIUM,17.0
VER,Red Bull Racing,18.0,0 days 00:01:20.258000,1.0,1.0,MEDIUM,18.0
VER,Red Bull Racing,19.0,0 days 00:01:20.068000,1.0,1.0,MEDIUM,19.0
VER,Red Bull Racing,20.0,0 days 00:01:19.988000,1.0,1.0,MEDIUM,20.0
VER,Red Bull Racing,21.0,0 days 00:01:20.087000,1.0,1.0,MEDIUM,21.0
VER,Red Bull Racing,22.0,0 days 00:01:19.869000,1.0,1.0,MEDIUM,22.0
VER,Red Bull Racing,23.0,0 days 00:01:20.098000,1.0,1.0,MEDIUM,23.0
VER,Red Bull Racing,24.0,0 days 00:01:19.946000,1.0,1.0,MEDIUM,24.0
VER,Red Bull Racing,25.0,0 days 00:01:19.973000,1.0,1.0,MEDIUM,25.0
VER,Red Bull Racing,26.0,0 days 00:01:23.843000,1.0,1.0,MEDIUM,26.0
VER,Red Bull Racing,27.0,0 days 00:01:38.427000,1.0,2.0,HARD,1.0
VER,Red Bull Racing,28.0,0 days 00:01:18.707000,1.0,2.0,HARD,2.0
