Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,1.0,0 days 00:01:23.080000,1.0,1.0,MEDIUM,1.0
VER,Red Bull Racing,2.0,0 days 00:01:18.075000,1.0,1.0,MEDIUM,2.0
VER,Red Bull Racing,3.0,0 days 00:01:17.767000,1.0,1.0,MEDIUM,3.0
VER,Red Bull Racing,4.0,0 days 00:01:17.203000,1.0,1.0,MEDIUM,4.0
VER,Red Bull Racing,5.0,0 days 00:01:17.371000,1.0,1.0,MEDIUM,5.0
VER,Red Bull Racing,6.0,0 days 00:01:17.607000,1.0,1.0,MEDIUM,6.0
VER,Red Bull Racing,7.0,0 days 00:01:17.565000,1.0,1.0,MEDIUM,7.0
VER,Red Bull Racing,8.0,0 days 00:01:32.655000,1.0,1.0,MEDIUM,8.0
VER,Red Bull Racing,9.0,0 days 00:01:17.495000,1.0,1.0,MEDIUM,9.0
VER,Red Bull Racing,10.0,0 days 00:01:17.359000,1.0,1.0,MEDIUM,10.0
VER,Red Bull Racing,11.0,0 days 00:01:17.268000,1.0,1.0,MEDIUM,11.0
VER,Red Bull Racing,12.0,0 days 00:01:33.192000,1.0,1.0,MEDIUM,12.0
VER,Red Bull Racing,13.0,0 days 00:02:29.911000,1.0,2.0,HARD,1.0
VER,Red Bull Racing,14.0,0 days 00:02:04.639000,1.0,2.0,HARD,2.0
VER,Red Bull Racing,15.0,0 days 00:01:54.677000,1.0,2.0,HARD,3.0
VER,Red Bull Racing,16.0,0 days 00:02:14.905000,1.0,2.0,HARD,4.0
VER,Red Bull Racing,17.0,0 days 00:01:17.145000,1.0,2.0,HARD,5.0
VER,Red Bull Racing,18.0,0 days 00:01:16.682000,1.0,2.0,HARD,6.0
VER,Red Bull Racing,19.0,0 days 00:01:16.630000,1.0,2.0,HARD,7.0
VER,Red Bull Racing,20.0,0 days 00:01:16.607000,1.0,2.0,HARD,8.0
VER,Red Bull Racing,21.0,0 days 00:01:16.652000,1.0,2.0,HARD,9.0
VER,Red Bull Racing,22.0,0 days 00:01:16.697000,1.0,2.0,HARD,10.0
VER,Red Bull Racing,23.0,0 days 00:01:16.946000,1.0,2.0,HARD,11.0
VER,Red Bull Racing,24.0,0 days 00:01:16.641000,1.0,2.0,HARD,12.0
VER,Red Bull Racing,25.0,0 days 00:01:16.643000,1.0,2.0,HARD,13.0
VER,Red Bull Racing,26.0,0 days 00:01:16.785000,1.0,2.0,HARD,14.0
VER,Red Bull Racing,27.0,0 days 00:01:16.928000,1.0,2.0,HARD,15.0
VER,Red Bull Racing,28.0,0 days 00:01:17.004000,1.0,2.0,HARD,16.0
VER,Red Bull Racing,29.0,0 days 00:01:16.807000,1.0,2.0,HARD,17.0
VER,Red Bull Racing,30.0,0 days 00:01:17.016000,1.0,2.0,HARD,18.0
VER,Red Bull Racing,31.0,0 days 00:01:16.849000,1.0,2.0,HARD,19.0
VER,Red Bull Racing,32.0,0 days 00:01:16.918000,1.0,2.0,HARD,20.0
VER,Red Bull Racing,33.0,0 days 00:01:16.830000,1.0,2.0,HARD,21.0
VER,Red Bull Racing,34.0,0 days 00:01:17.054000,1.0,2.0,HARD,22.0
VER,Red Bull Racing,35.0,0 days 00:01:17.225000,1.0,2.0,HARD,23.0
VER,Red Bull Racing,36.0,0 days 00:01:17.765000,1.0,2.0,HARD,24.0
VER,Red Bull Racing,37.0,0 days 00:01:17.094000,1.0,2.0,HARD,25.0
VER,Red Bull Racing,38.0,0 days 00:01:17.011000,1.0,2.0,HARD,26.0
VER,Red Bull Racing,39.0,0 days 00:01:17.273000,1.0,2.0,HARD,27.0
VER,Red Bull Racing,40.0,0 days 00:01:17.400000,1.0,2.0,HARD,28.0
VER,Red Bull Racing,41.0,0 days 00:01:17.017000,1.0,2.0,HARD,29.0
VER,Red Bull Racing,42.0,0 days 00:01:33.273000,1.0,2.0,HARD,30.0
VER,Red Bull Racing,43.0,0 days 00:01:19.311000,1.0,3.0,MEDIUM,1.0
VER,Red Bull Racing,44.0,0 days 00:01:16.322000,1.0,3.0,MEDIUM,2.0
VER,Red Bull Racing,45.0,0 days 00:01:16.092000,1.0,3.0,MEDIUM,3.0
VER,Red Bull Racing,46.0,0 days 00:01:16.204000,1.0,3.0,MEDIUM,4.0
VER,Red Bull Racing,47.0,0 days 00:01:16.036000,1.0,3.0,MEDIUM,5.0
VER,Red Bull Racing,48.0,0 days 00:01:16.109000,1.0,3.0,MEDIUM,6.0
VER,Red Bull Racing,49.0,0 days 00:01:15.856000,1.0,3.0,MEDIUM,7.0
VER,Red Bull Racing,50.0,0 days 00:01:15.919000,1.0,3.0,MEDIUM,8.0
VER,Red Bull Racing,51.0,0 days 00:01:15.795000,1.0,3.0,MEDIUM,9.0
VER,Red Bull Racing,52.0,0 days 00:01:16.103000,1.0,3.0,MEDIUM,10.0
VER,Red Bull Racing,53.0,0 days 00:01:15.694000,1.0,3.0,MEDIUM,11.0
VER,Red Bull Racing,54.0,0 days 00:01:15.732000,1.0,3.0,MEDIUM,12.0
VER,Red Bull Racing,55.0,0 days 00:01:15.820000,1.0,3.0,MEDIUM,13.0
VER,Red Bull Racing,56.0,0 days 00:01:15.888000,1.0,3.0,MEDIUM,14.0
VER,Red Bull Racing,57.0,0 days 00:01:15.945000,1.0,3.0,MEDIUM,15.0
VER,Red Bull Racing,58.0,0 days 00:01:15.957000,1.0,3.0,MEDIUM,16.0
VER,Red Bull Racing,59.0,0 days 00:01:15.775000,1.0,3.0,MEDIUM,17.0
VER,Red Bull Racing,60.0,0 days 00:01:15.866000,1.0,3.0,MEDIUM,18.0
VER,Red Bull Racing,61.0,0 days 00:01:15.928000,1.0,3.0,MEDIUM,19.0
VER,Red Bull Racing,62.0,0 days 00:01:15.933000,1.0,3.0,MEDIUM,20.0
VER,Red Bull Racing,63.0,0 days 00:01:15.937000,1.0,3.0,MEDIUM,21.0
VER,Red Bull Racing,64.0,0 days 00:01:16.214000,1.0,3.0,MEDIUM,22.0
VER,Red Bull Racing,65.0,0 days 00:01:15.897000,1.0,3.0,MEDIUM,23.0
VER,Red Bull Racing,66.0,0 days 00:01:16.233000,1.0,3.0,MEDIUM,24.0
VER,Red Bull Racing,67.0,0 days 00:01:16.121000,1.0,3.0,MEDIUM,25.0
VER,Red Bull Racing,68.0,0 days 00:01:15.594000,1.0,3.0,MEDIUM,26.0
VER,Red Bull Racing,69.0,0 days 00:01:16.169000,1.0,3.0,MEDIUM,27.0
VER,Red Bull Racing,70.0,0 days 00:01:16.237000,1.0,3.0,MEDIUM,28.0
GAS,Alpine,1.0,0 days 00:01:31.271000,13.0,1.0,SOFT,1.0
GAS,Alpine,2.0,0 days 00:01:19.340000,13.0,1.0,SOFT,2.0
GAS,Alpine,3.0,0 days 00:01:18.700000,13.0,1.0,SOFT,3.0
GAS,Alpine,4.0,0 days 00:01:18.514000,13.0,1.0,SOFT,4.0
GAS,Alpine,5.0,0 days 00:01:18.963000,13.0,1.0,SOFT,5.0
GAS,Alpine,6.0,0 days 00:01:18.298000,13.0,1.0,SOFT,6.0
GAS,Alpine,7.0,0 days 00:01:19.107000,13.0,1.0,SOFT,7.0
GAS,Alpine,8.0,0 days 00:01:33.842000,13.0,1.0,SOFT,8.0
GAS,Alpine,9.0,0 days 00:01:18.674000,13.0,1.0,SOFT,9.0
GAS,Alpine,10.0,0 days 00:01:40.116000,19.0,1.0,SOFT,10.0
GAS,Alpine,11.0,0 days 00:01:21.940000,19.0,2.0,HARD,1.0
GAS,Alpine,12.0,0 days 00:01:41.814000,18.0,2.0,HARD,2.0
GAS,Alpine,13.0,0 days 00:01:57.989000,18.0,2.0,HARD,3.0
GAS,Alpine,14.0,0 days 00:02:06.442000,18.0,2.0,HARD,4.0
GAS,Alpine,15.0,0 days 00:01:57.326000,18.0,2.0,HARD,5.0
GAS,Alpine,16.0,0 days 00:01:56.432000,18.0,2.0,HARD,6.0
GAS,Alpine,17.0,0 days 00:01:19.828000,18.0,2.0,HARD,7.0
GAS,Alpine,18.0,0 days 00:01:19.350000,18.0,2.0,HARD,8.0
GAS,Alpine,19.0,0 days 00:01:18.419000,18.0,2.0,HARD,9.0
GAS,Alpine,20.0,0 days 00:01:18.491000,18.0,2.0,HARD,10.0
GAS,Alpine,21.0,0 days 00:01:18.806000,18.0,2.0,HARD,11.0
GAS,Alpine,22.0,0 days 00:01:18.438000,18.0,2.0,HARD,12.0
GAS,Alpine,23.0,0 days 00:01:18.433000,18.0,2.0,HARD,13.0
GAS,Alpine,24.0,0 days 00:01:18.667000,18.0,2.0,HARD,14.0
GAS,Alpine,25.0,0 days 00:01:18.288000,18.0,2.0,HARD,15.0
GAS,Alpine,26.0,0 days 00:01:18.723000,18.0,2.0,HARD,16.0
GAS,Alpine,27.0,0 days 00:01:18.499000,17.0,2.0,HARD,17.0
GAS,Alpine,28.0,0 days 00:01:18.338000,17.0,2.0,HARD,18.0
GAS,Alpine,29.0,0 days 00:01:18.680000,17.0,2.0,HARD,19.0
GAS,Alpine,30.0,0 days 00:01:18.481000,17.0,2.0,HARD,20.0
GAS,Alpine,31.0,0 days 00:01:18.422000,16.0,2.0,HARD,21.0
GAS,Alpine,32.0,0 days 00:01:18.126000,15.0,2.0,HARD,22.0
GAS,Alpine,33.0,0 days 00:01:35.144000,18.0,2.0,HARD,23.0
GAS,Alpine,34.0,0 days 00:01:20.911000,18.0,3.0,HARD,1.0
GAS,Alpine,35.0,0 days 00:01:18.144000,15.0,3.0,HARD,2.0
GAS,Alpine,36.0,0 days 00:01:17.305000,15.0,3.0,HARD,3.0
GAS,Alpine,37.0,0 days 00:01:17.423000,15.0,3.0,HARD,4.0
GAS,Alpine,38.0,0 days 00:01:17.251000,15.0,3.0,HARD,5.0
GAS,Alpine,39.0,0 days 00:01:17.180000,15.0,3.0,HARD,6.0
GAS,Alpine,40.0,0 days 00:01:17.277000,15.0,3.0,HARD,7.0
GAS,Alpine,41.0,0 days 00:01:17.126000,15.0,3.0,HARD,8.0
GAS,Alpine,42.0,0 days 00:01:17.323000,15.0,3.0,HARD,9.0
GAS,Alpine,43.0,0 days 00:01:17.406000,14.0,3.0,HARD,10.0
GAS,Alpine,44.0,0 days 00:01:16.924000,14.0,3.0,HARD,11.0
GAS,Alpine,45.0,0 days 00:01:16.777000,14.0,3.0,HARD,12.0
GAS,Alpine,46.0,0 days 00:01:16.752000,14.0,3.0,HARD,13.0
GAS,Alpine,47.0,0 days 00:01:16.950000,14.0,3.0,HARD,14.0
GAS,Alpine,48.0,0 days 00:01:17.015000,14.0,3.0,HARD,15.0
GAS,Alpine,49.0,0 days 00:01:16.872000,14.0,3.0,HARD,16.0
GAS,Alpine,50.0,0 days 00:01:17.012000,14.0,3.0,HARD,17.0
GAS,Alpine,51.0,0 days 00:01:16.837000,14.0,3.0,HARD,18.0
GAS,Alpine,52.0,0 days 00:01:16.913000,14.0,3.0,HARD,19.0
GAS,Alpine,53.0,0 days 00:01:16.813000,14.0,3.0,HARD,20.0
GAS,Alpine,54.0,0 days 00:01:16.993000,14.0,3.0,HARD,21.0
GAS,Alpine,55.0,0 days 00:01:17.110000,13.0,3.0,HARD,22.0
GAS,Alpine,56.0,0 days 00:01:16.987000,13.0,3.0,HARD,23.0
GAS,Alpine,57.0,0 days 00:01:16.802000,13.0,3.0,HARD,24.0
GAS,Alpine,58.0,0 days 00:01:16.725000,13.0,3.0,HARD,25.0
GAS,Alpine,59.0,0 days 00:01:16.556000,13.0,3.0,HARD,26.0
GAS,Alpine,60.0,0 days 00:01:16.641000,13.0,3.0,HARD,27.0
GAS,Alpine,61.0,0 days 00:01:16.721000,13.0,3.0,HARD,28.0
GAS,Alpine,62.0,0 days 00:01:16.660000,13.0,3.0,HARD,29.0
GAS,Alpine,63.0,0 days 00:01:16.736000,13.0,3.0,HARD,30.0
GAS,Alpine,64.0,0 days 00:01:16.734000,13.0,3.0,HARD,31.0
GAS,Alpine,65.0,0 days 00:01:16.898000,13.0,3.0,HARD,32.0
GAS,Alpine,66.0,0 days 00:01:16.627000,13.0,3.0,HARD,33.0
GAS,Alpine,67.0,0 days 00:01:16.425000,13.0,3.0,HARD,34.0
GAS,Alpine,68.0,0 days 00:01:16.896000,13.0,3.0,HARD,35.0
GAS,Alpine,69.0,0 days 00:01:17.071000,13.0,3.0,HARD,36.0
GAS,Alpine,70.0,0 days 00:01:16.903000,13.0,3.0,HARD,37.0
PER,Red Bull Racing,1.0,0 days 00:01:30.734000,12.0,1.0,HARD,1.0
PER,Red Bull Racing,2.0,0 days 00:01:19.273000,12.0,1.0,HARD,2.0
PER,Red Bull Racing,3.0,0 days 00:01:18.510000,12.0,1.0,HARD,3.0
PER,Red Bull Racing,4.0,0 days 00:01:18.656000,12.0,1.0,HARD,4.0
PER,Red Bull Racing,5.0,0 days 00:01:18.450000,12.0,1.0,HARD,5.0
PER,Red Bull Racing,6.0,0 days 00:01:18.734000,12.0,1.0,HARD,6.0
PER,Red Bull Racing,7.0,0 days 00:01:19.228000,12.0,1.0,HARD,7.0
PER,Red Bull Racing,8.0,0 days 00:01:33.707000,12.0,1.0,HARD,8.0
PER,Red Bull Racing,9.0,0 days 00:01:18.635000,12.0,1.0,HARD,9.0
PER,Red Bull Racing,10.0,0 days 00:01:19.279000,12.0,1.0,HARD,10.0
PER,Red Bull Racing,11.0,0 days 00:01:18.748000,11.0,1.0,HARD,11.0
PER,Red Bull Racing,12.0,0 days 00:01:34.040000,6.0,1.0,HARD,12.0
PER,Red Bull Racing,13.0,0 days 00:02:14.770000,6.0,1.0,HARD,13.0
PER,Red Bull Racing,14.0,0 days 00:02:04.543000,6.0,1.0,HARD,14.0
PER,Red Bull Racing,15.0,0 days 00:01:54.242000,6.0,1.0,HARD,15.0
PER,Red Bull Racing,16.0,0 days 00:02:11.415000,6.0,1.0,HARD,16.0
PER,Red Bull Racing,17.0,0 days 00:01:19.091000,6.0,1.0,HARD,17.0
PER,Red Bull Racing,18.0,0 days 00:01:17.813000,6.0,1.0,HARD,18.0
PER,Red Bull Racing,19.0,0 days 00:01:17.754000,6.0,1.0,HARD,19.0
PER,Red Bull Racing,20.0,0 days 00:01:17.725000,6.0,1.0,HARD,20.0
PER,Red Bull Racing,21.0,0 days 00:01:17.406000,6.0,1.0,HARD,21.0
