Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,1.0,0 days 00:01:17.639000,1.0,1.0,MEDIUM,1.0
VER,Red Bull Racing,2.0,0 days 00:01:55.479000,1.0,1.0,MEDIUM,2.0
VER,Red Bull Racing,3.0,0 days 00:02:04.721000,1.0,2.0,MEDIUM,3.0
VER,Red Bull Racing,4.0,0 days 00:01:09.691000,1.0,2.0,MEDIUM,4.0
VER,Red Bull Racing,5.0,0 days 00:01:10.026000,1.0,2.0,MEDIUM,5.0
VER,Red Bull Racing,6.0,0 days 00:01:10.156000,1.0,2.0,MEDIUM,6.0
VER,Red Bull Racing,7.0,0 days 00:01:10.168000,1.0,2.0,MEDIUM,7.0
VER,Red Bull Racing,8.0,0 days 00:01:09.967000,1.0,2.0,MEDIUM,8.0
VER,Red Bull Racing,9.0,0 days 00:01:09.989000,1.0,2.0,MEDIUM,9.0
VER,Red Bull Racing,10.0,0 days 00:01:09.856000,1.0,2.0,MEDIUM,10.0
VER,Red Bull Racing,11.0,0 days 00:01:10.051000,1.0,2.0,MEDIUM,11.0
VER,Red Bull Racing,12.0,0 days 00:01:09.833000,1.0,2.0,MEDIUM,12.0
VER,Red Bull Racing,13.0,0 days 00:01:10.196000,1.0,2.0,MEDIUM,13.0
VER,Red Bull Racing,14.0,0 days 00:01:13.573000,1.0,2.0,MEDIUM,14.0
VER,Red Bull Racing,15.0,0 days 00:01:33.592000,1.0,2.0,MEDIUM,15.0
VER,Red Bull Racing,16.0,0 days 00:01:19.611000,1.0,2.0,MEDIUM,16.0
VER,Red Bull Racing,17.0,0 days 00:01:09.924000,1.0,2.0,MEDIUM,17.0
VER,Red Bull Racing,18.0,0 days 00:01:10.002000,1.0,2.0,MEDIUM,18.0
VER,Red Bull Racing,19.0,0 days 00:01:09.942000,1.0,2.0,MEDIUM,19.0
VER,Red Bull Racing,20.0,0 days 00:01:10.160000,1.0,2.0,MEDIUM,20.0
VER,Red Bull Racing,21.0,0 days 00:01:10.142000,1.0,2.0,MEDIUM,21.0
VER,Red Bull Racing,22.0,0 days 00:01:10.337000,1.0,2.0,MEDIUM,22.0
VER,Red Bull Racing,23.0,0 days 00:01:10.396000,1.0,2.0,MEDIUM,23.0
VER,Red Bull Racing,24.0,0 days 00:01:13.519000,1.0,2.0,MEDIUM,24.0
VER,Red Bull Racing,25.0,0 days 00:01:26.769000,3.0,3.0,HARD,1.0
