Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,1.0,0 days 00:01:37.167000,2.0,1.0,MEDIUM,1.0
VER,Red Bull Racing,2.0,0 days 00:01:33.433000,2.0,1.0,MEDIUM,2.0
VER,Red Bull Racing,3.0,0 days 00:01:32.730000,2.0,1.0,MEDIUM,3.0
VER,Red Bull Racing,4.0,0 days 00:01:32.780000,2.0,1.0,MEDIUM,4.0
VER,Red Bull Racing,5.0,0 days 00:01:32.582000,1.0,1.0,MEDIUM,5.0
VER,Red Bull Racing,6.0,0 days 00:01:33.027000,1.0,1.0,MEDIUM,6.0
VER,Red Bull Racing,7.0,0 days 00:01:33.100000,1.0,1.0,MEDIUM,7.0
VER,Red Bull Racing,8.0,0 days 00:01:32.884000,1.0,1.0,MEDIUM,8.0
VER,Red Bull Racing,9.0,0 days 00:01:32.822000,1.0,1.0,MEDIUM,9.0
VER,Red Bull Racing,10.0,0 days 00:01:32.594000,1.0,1.0,MEDIUM,10.0
VER,Red Bull Racing,11.0,0 days 00:01:32.597000,1.0,1.0,MEDIUM,11.0
VER,Red Bull Racing,12.0,0 days 00:01:32.687000,1.0,1.0,MEDIUM,12.0
VER,Red Bull Racing,13.0,0 days 00:01:32.678000,1.0,1.0,MEDIUM,13.0
VER,Red Bull Racing,14.0,0 days 00:01:33.046000,1.0,1.0,MEDIUM,14.0
VER,Red Bull Racing,15.0,0 days 00:01:32.990000,1.0,1.0,MEDIUM,15.0
VER,Red Bull Racing,16.0,0 days 00:01:32.808000,1.0,1.0,MEDIUM,16.0
VER,Red Bull Racing,17.0,0 days 00:01:32.603000,1.0,1.0,MEDIUM,17.0
VER,Red Bull Racing,18.0,0 days 00:01:32.507000,1.0,1.0,MEDIUM,18.0
VER,Red Bull Racing,19.0,0 days 00:01:32.338000,1.0,1.0,MEDIUM,19.0
VER,Red Bull Racing,20.0,0 days 00:01:32.295000,1.0,1.0,MEDIUM,20.0
VER,Red Bull Racing,21.0,0 days 00:01:32.494000,1.0,1.0,MEDIUM,21.0
VER,Red Bull Racing,22.0,0 days 00:01:32.184000,1.0,1.0,MEDIUM,22.0
VER,Red Bull Racing,23.0,0 days 00:01:32.272000,1.0,1.0,MEDIUM,23.0
VER,Red Bull Racing,24.0,0 days 00:01:32.350000,1.0,1.0,MEDIUM,24.0
VER,Red Bull Racing,25.0,0 days 00:01:32.295000,1.0,1.0,MEDIUM,25.0
VER,Red Bull Racing,26.0,0 days 00:01:32.276000,1.0,1.0,MEDIUM,26.0
VER,Red Bull Racing,27.0,0 days 00:01:32.138000,1.0,1.0,MEDIUM,27.0
VER,Red Bull Racing,28.0,0 days 00:01:32.215000,1.0,1.0,MEDIUM,28.0
VER,Red Bull Racing,29.0,0 days 00:01:32.251000,1.0,1.0,MEDIUM,29.0
VER,Red Bull Racing,30.0,0 days 00:01:32.363000,1.0,1.0,MEDIUM,30.0
VER,Red Bull Racing,31.0,0 days 00:01:32.388000,1.0,1.0,MEDIUM,31.0
VER,Red Bull Racing,32.0,0 days 00:01:32.210000,1.0,1.0,MEDIUM,32.0
VER,Red Bull Racing,33.0,0 days 00:01:58.611000,1.0,1.0,MEDIUM,33.0
VER,Red Bull Racing,35.0,0 days 00:02:27.771000,1.0,2.0,SOFT,5.0
VER,Red Bull Racing,36.0,0 days 00:02:26.545000,1.0,2.0,SOFT,6.0
VER,Red Bull Racing,37.0,0 days 00:02:23.835000,1.0,2.0,SOFT,7.0
VER,Red Bull Racing,38.0,0 days 00:02:21.674000,1.0,2.0,SOFT,8.0
VER,Red Bull Racing,39.0,0 days 00:01:30.348000,1.0,2.0,SOFT,9.0
VER,Red Bull Racing,40.0,0 days 00:01:30.547000,1.0,2.0,SOFT,10.0
VER,Red Bull Racing,41.0,0 days 00:01:30.688000,1.0,2.0,SOFT,11.0
VER,Red Bull Racing,42.0,0 days 00:01:30.275000,1.0,2.0,SOFT,12.0
VER,Red Bull Racing,43.0,0 days 00:01:30.535000,1.0,2.0,SOFT,13.0
VER,Red Bull Racing,44.0,0 days 00:01:30.648000,1.0,2.0,SOFT,14.0
VER,Red Bull Racing,45.0,0 days 00:01:31.342000,1.0,2.0,SOFT,15.0
VER,Red Bull Racing,46.0,0 days 00:01:31.114000,1.0,2.0,SOFT,16.0
VER,Red Bull Racing,47.0,0 days 00:01:31.148000,1.0,2.0,SOFT,17.0
VER,Red Bull Racing,48.0,0 days 00:01:31.400000,1.0,2.0,SOFT,18.0
VER,Red Bull Racing,49.0,0 days 00:01:31.218000,1.0,2.0,SOFT,19.0
VER,Red Bull Racing,50.0,0 days 00:01:31.292000,1.0,2.0,SOFT,20.0
VER,Red Bull Racing,51.0,0 days 00:01:31.397000,1.0,2.0,SOFT,21.0
VER,Red Bull Racing,52.0,0 days 00:01:30.975000,1.0,2.0,SOFT,22.0
GAS,Alpine,1.0,0 days 00:01:41.014000,9.0,1.0,MEDIUM,1.0
GAS,Alpine,2.0,0 days 00:01:34.706000,9.0,1.0,MEDIUM,2.0
GAS,Alpine,3.0,0 days 00:01:33.605000,9.0,1.0,MEDIUM,3.0
GAS,Alpine,4.0,0 days 00:01:33.349000,9.0,1.0,MEDIUM,4.0
GAS,Alpine,5.0,0 days 00:01:33.863000,9.0,1.0,MEDIUM,5.0
GAS,Alpine,6.0,0 days 00:01:34.143000,9.0,1.0,MEDIUM,6.0
GAS,Alpine,7.0,0 days 00:01:34.399000,9.0,1.0,MEDIUM,7.0
GAS,Alpine,8.0,0 days 00:01:33.905000,9.0,1.0,MEDIUM,8.0
GAS,Alpine,9.0,0 days 00:01:33.592000,9.0,1.0,MEDIUM,9.0
GAS,Alpine,10.0,0 days 00:01:33.855000,9.0,1.0,MEDIUM,10.0
GAS,Alpine,11.0,0 days 00:01:33.836000,9.0,1.0,MEDIUM,11.0
GAS,Alpine,12.0,0 days 00:01:33.705000,9.0,1.0,MEDIUM,12.0
GAS,Alpine,13.0,0 days 00:01:33.683000,9.0,1.0,MEDIUM,13.0
GAS,Alpine,14.0,0 days 00:01:33.843000,9.0,1.0,MEDIUM,14.0
GAS,Alpine,15.0,0 days 00:01:33.769000,9.0,1.0,MEDIUM,15.0
GAS,Alpine,16.0,0 days 00:01:33.535000,9.0,1.0,MEDIUM,16.0
GAS,Alpine,17.0,0 days 00:01:33.138000,9.0,1.0,MEDIUM,17.0
GAS,Alpine,18.0,0 days 00:01:33.291000,9.0,1.0,MEDIUM,18.0
GAS,Alpine,19.0,0 days 00:01:33.199000,8.0,1.0,MEDIUM,19.0
GAS,Alpine,20.0,0 days 00:01:33.248000,8.0,1.0,MEDIUM,20.0
GAS,Alpine,21.0,0 days 00:01:33.098000,8.0,1.0,MEDIUM,21.0
GAS,Alpine,22.0,0 days 00:01:33.168000,8.0,1.0,MEDIUM,22.0
GAS,Alpine,23.0,0 days 00:01:32.846000,8.0,1.0,MEDIUM,23.0
GAS,Alpine,24.0,0 days 00:01:33.164000,8.0,1.0,MEDIUM,24.0
GAS,Alpine,25.0,0 days 00:01:33.098000,8.0,1.0,MEDIUM,25.0
GAS,Alpine,26.0,0 days 00:01:33.243000,8.0,1.0,MEDIUM,26.0
GAS,Alpine,27.0,0 days 00:01:32.988000,7.0,1.0,MEDIUM,27.0
GAS,Alpine,28.0,0 days 00:01:33.255000,7.0,1.0,MEDIUM,28.0
GAS,Alpine,29.0,0 days 00:01:33.283000,6.0,1.0,MEDIUM,29.0
GAS,Alpine,30.0,0 days 00:01:33.299000,5.0,1.0,MEDIUM,30.0
GAS,Alpine,31.0,0 days 00:01:33.391000,6.0,1.0,MEDIUM,31.0
GAS,Alpine,32.0,0 days 00:02:06.804000,11.0,2.0,SOFT,4.0
GAS,Alpine,33.0,0 days 00:02:08.973000,11.0,2.0,SOFT,5.0
GAS,Alpine,34.0,0 days 00:02:05.716000,11.0,2.0,SOFT,6.0
GAS,Alpine,35.0,0 days 00:02:17.502000,11.0,2.0,SOFT,7.0
GAS,Alpine,36.0,0 days 00:02:24.007000,11.0,2.0,SOFT,8.0
GAS,Alpine,37.0,0 days 00:02:25.817000,11.0,2.0,SOFT,9.0
GAS,Alpine,38.0,0 days 00:02:13.934000,11.0,2.0,SOFT,10.0
GAS,Alpine,39.0,0 days 00:01:32.980000,12.0,2.0,SOFT,11.0
GAS,Alpine,40.0,0 days 00:01:32.823000,12.0,2.0,SOFT,12.0
GAS,Alpine,41.0,0 days 00:01:31.827000,12.0,2.0,SOFT,13.0
GAS,Alpine,42.0,0 days 00:01:31.539000,12.0,2.0,SOFT,14.0
GAS,Alpine,43.0,0 days 00:01:31.648000,12.0,2.0,SOFT,15.0
