Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,1.0,0 days 00:01:27.912000,1.0,1.0,MEDIUM,4.0
VER,Red Bull Racing,2.0,0 days 00:01:25.157000,1.0,1.0,MEDIUM,5.0
VER,Red Bull Racing,3.0,0 days 00:01:25.070000,1.0,1.0,MEDIUM,6.0
VER,Red Bull Racing,4.0,0 days 00:01:24.542000,1.0,1.0,MEDIUM,7.0
VER,Red Bull Racing,5.0,0 days 00:01:24.843000,1.0,1.0,MEDIUM,8.0
VER,Red Bull Racing,6.0,0 days 00:01:24.596000,1.0,1.0,MEDIUM,9.0
VER,Red Bull Racing,7.0,0 days 00:01:24.487000,1.0,1.0,MEDIUM,10.0
VER,Red Bull Racing,8.0,0 days 00:01:24.509000,1.0,1.0,MEDIUM,11.0
VER,Red Bull Racing,9.0,0 days 00:01:24.437000,1.0,1.0,MEDIUM,12.0
VER,Red Bull Racing,10.0,0 days 00:01:24.405000,1.0,1.0,MEDIUM,13.0
VER,Red Bull Racing,11.0,0 days 00:01:24.462000,1.0,1.0,MEDIUM,14.0
VER,Red Bull Racing,12.0,0 days 00:01:24.306000,1.0,1.0,MEDIUM,15.0
VER,Red Bull Racing,13.0,0 days 00:01:24.355000,1.0,1.0,MEDIUM,16.0
VER,Red Bull Racing,14.0,0 days 00:01:24.201000,1.0,1.0,MEDIUM,17.0
VER,Red Bull Racing,15.0,0 days 00:01:24.121000,1.0,1.0,MEDIUM,18.0
VER,Red Bull Racing,16.0,0 days 00:01:24.373000,1.0,1.0,MEDIUM,19.0
VER,Red Bull Racing,17.0,0 days 00:01:24.214000,1.0,1.0,MEDIUM,20.0
VER,Red Bull Racing,18.0,0 days 00:01:24.195000,1.0,1.0,MEDIUM,21.0
VER,Red Bull Racing,19.0,0 days 00:01:24.396000,1.0,1.0,MEDIUM,22.0
VER,Red Bull Racing,20.0,0 days 00:01:24.065000,1.0,1.0,MEDIUM,23.0
VER,Red Bull Racing,21.0,0 days 00:01:24.012000,1.0,1.0,MEDIUM,24.0
VER,Red Bull Racing,22.0,0 days 00:01:24.360000,1.0,1.0,MEDIUM,25.0
VER,Red Bull Racing,23.0,0 days 00:01:27.151000,1.0,1.0,MEDIUM,26.0
VER,Red Bull Racing,24.0,0 days 00:01:42.007000,1.0,2.0,HARD,1.0
VER,Red Bull Racing,25.0,0 days 00:01:23.777000,1.0,2.0,HARD,2.0
VER,Red Bull Racing,26.0,0 days 00:01:23.717000,1.0,2.0,HARD,3.0
VER,Red Bull Racing,27.0,0 days 00:01:23.636000,1.0,2.0,HARD,4.0
VER,Red Bull Racing,28.0,0 days 00:01:23.687000,1.0,2.0,HARD,5.0
VER,Red Bull Racing,29.0,0 days 00:01:23.762000,1.0,2.0,HARD,6.0
VER,Red Bull Racing,30.0,0 days 00:01:23.624000,1.0,2.0,HARD,7.0
VER,Red Bull Racing,31.0,0 days 00:01:23.590000,1.0,2.0,HARD,8.0
VER,Red Bull Racing,32.0,0 days 00:01:23.292000,1.0,2.0,HARD,9.0
VER,Red Bull Racing,33.0,0 days 00:01:23.523000,1.0,2.0,HARD,10.0
VER,Red Bull Racing,34.0,0 days 00:01:23.507000,1.0,2.0,HARD,11.0
VER,Red Bull Racing,35.0,0 days 00:01:23.489000,1.0,2.0,HARD,12.0
VER,Red Bull Racing,36.0,0 days 00:01:23.285000,1.0,2.0,HARD,13.0
VER,Red Bull Racing,37.0,0 days 00:01:23.250000,1.0,2.0,HARD,14.0
VER,Red Bull Racing,38.0,0 days 00:01:23.470000,1.0,2.0,HARD,15.0
VER,Red Bull Racing,39.0,0 days 00:01:24.143000,1.0,2.0,HARD,16.0
VER,Red Bull Racing,40.0,0 days 00:01:23.705000,1.0,2.0,HARD,17.0
VER,Red Bull Racing,41.0,0 days 00:01:23.023000,1.0,2.0,HARD,18.0
VER,Red Bull Racing,42.0,0 days 00:01:23.309000,1.0,2.0,HARD,19.0
VER,Red Bull Racing,43.0,0 days 00:01:23.338000,1.0,2.0,HARD,20.0
VER,Red Bull Racing,44.0,0 days 00:01:23.772000,1.0,2.0,HARD,21.0
VER,Red Bull Racing,45.0,0 days 00:01:23.930000,1.0,2.0,HARD,22.0
VER,Red Bull Racing,46.0,0 days 00:01:23.639000,1.0,2.0,HARD,23.0
VER,Red Bull Racing,47.0,0 days 00:01:23.608000,1.0,2.0,HARD,24.0
VER,Red Bull Racing,48.0,0 days 00:01:23.487000,1.0,2.0,HARD,25.0
VER,Red Bull Racing,49.0,0 days 00:01:23.822000,1.0,2.0,HARD,26.0
VER,Red Bull Racing,50.0,0 days 00:01:23.782000,1.0,2.0,HARD,27.0
VER,Red Bull Racing,51.0,0 days 00:01:26.210000,1.0,2.0,HARD,28.0
VER,Red Bull Racing,52.0,0 days 00:01:42.723000,1.0,3.0,MEDIUM,4.0
VER,Red Bull Racing,53.0,0 days 00:01:20.504000,1.0,3.0,MEDIUM,5.0
VER,Red Bull Racing,54.0,0 days 00:01:23.935000,1.0,3.0,MEDIUM,6.0
VER,Red Bull Racing,55.0,0 days 00:01:22.847000,1.0,3.0,MEDIUM,7.0
VER,Red Bull Racing,56.0,0 days 00:01:22.600000,1.0,3.0,MEDIUM,8.0
VER,Red Bull Racing,57.0,0 days 00:01:22.425000,1.0,3.0,MEDIUM,9.0
VER,Red Bull Racing,58.0,0 days 00:01:22.650000,1.0,3.0,MEDIUM,10.0
VER,Red Bull Racing,59.0,0 days 00:01:21.880000,1.0,3.0,MEDIUM,11.0
VER,Red Bull Racing,60.0,0 days 00:01:21.554000,1.0,3.0,MEDIUM,12.0
VER,Red Bull Racing,61.0,0 days 00:01:21.520000,1.0,3.0,MEDIUM,13.0
VER,Red Bull Racing,62.0,0 days 00:01:21.693000,1.0,3.0,MEDIUM,14.0
VER,Red Bull Racing,63.0,0 days 00:01:21.772000,1.0,3.0,MEDIUM,15.0
VER,Red Bull Racing,64.0,0 days 00:01:22.122000,1.0,3.0,MEDIUM,16.0
VER,Red Bull Racing,65.0,0 days 00:01:22.223000,1.0,3.0,MEDIUM,17.0
VER,Red Bull Racing,66.0,0 days 00:01:21.941000,1.0,3.0,MEDIUM,18.0
VER,Red Bull Racing,67.0,0 days 00:01:21.754000,1.0,3.0,MEDIUM,19.0
VER,Red Bull Racing,68.0,0 days 00:01:21.524000,1.0,3.0,MEDIUM,20.0
VER,Red Bull Racing,69.0,0 days 00:01:21.180000,1.0,3.0,MEDIUM,21.0
VER,Red Bull Racing,70.0,0 days 00:01:22.234000,1.0,3.0,MEDIUM,22.0
NOR,McLaren,1.0,0 days 00:01:29.901000,3.0,1.0,MEDIUM,1.0
NOR,McLaren,2.0,0 days 00:01:25.820000,3.0,1.0,MEDIUM,2.0
NOR,McLaren,3.0,0 days 00:01:25.205000,3.0,1.0,MEDIUM,3.0
NOR,McLaren,4.0,0 days 00:01:24.794000,3.0,1.0,MEDIUM,4.0
NOR,McLaren,5.0,0 days 00:01:24.893000,3.0,1.0,MEDIUM,5.0
NOR,McLaren,6.0,0 days 00:01:24.826000,3.0,1.0,MEDIUM,6.0
NOR,McLaren,7.0,0 days 00:01:25.138000,3.0,1.0,MEDIUM,7.0
NOR,McLaren,8.0,0 days 00:01:25.005000,3.0,1.0,MEDIUM,8.0
NOR,McLaren,9.0,0 days 00:01:25.199000,3.0,1.0,MEDIUM,9.0
NOR,McLaren,10.0,0 days 00:01:24.958000,3.0,1.0,MEDIUM,10.0
NOR,McLaren,11.0,0 days 00:01:24.875000,3.0,1.0,MEDIUM,11.0
NOR,McLaren,12.0,0 days 00:01:25.001000,3.0,1.0,MEDIUM,12.0
NOR,McLaren,13.0,0 days 00:01:25.091000,3.0,1.0,MEDIUM,13.0
NOR,McLaren,14.0,0 days 00:01:25.008000,3.0,1.0,MEDIUM,14.0
NOR,McLaren,15.0,0 days 00:01:24.869000,3.0,1.0,MEDIUM,15.0
NOR,McLaren,16.0,0 days 00:01:25.015000,3.0,1.0,MEDIUM,16.0
NOR,McLaren,17.0,0 days 00:01:27.115000,3.0,1.0,MEDIUM,17.0
NOR,McLaren,18.0,0 days 00:01:40.528000,5.0,2.0,HARD,1.0
NOR,McLaren,19.0,0 days 00:01:23.543000,4.0,2.0,HARD,2.0
NOR,McLaren,20.0,0 days 00:01:23.941000,3.0,2.0,HARD,3.0
NOR,McLaren,21.0,0 days 00:01:23.499000,3.0,2.0,HARD,4.0
NOR,McLaren,22.0,0 days 00:01:23.881000,3.0,2.0,HARD,5.0
NOR,McLaren,23.0,0 days 00:01:23.707000,3.0,2.0,HARD,6.0
NOR,McLaren,24.0,0 days 00:01:23.847000,2.0,2.0,HARD,7.0
NOR,McLaren,25.0,0 days 00:01:23.517000,2.0,2.0,HARD,8.0
NOR,McLaren,26.0,0 days 00:01:23.732000,2.0,2.0,HARD,9.0
NOR,McLaren,27.0,0 days 00:01:24.064000,2.0,2.0,HARD,10.0
NOR,McLaren,28.0,0 days 00:01:24.453000,2.0,2.0,HARD,11.0
NOR,McLaren,29.0,0 days 00:01:24.136000,2.0,2.0,HARD,12.0
NOR,McLaren,30.0,0 days 00:01:24.043000,2.0,2.0,HARD,13.0
NOR,McLaren,31.0,0 days 00:01:24.289000,2.0,2.0,HARD,14.0
NOR,McLaren,32.0,0 days 00:01:24.131000,2.0,2.0,HARD,15.0
NOR,McLaren,33.0,0 days 00:01:24.297000,2.0,2.0,HARD,16.0
NOR,McLaren,34.0,0 days 00:01:24.224000,2.0,2.0,HARD,17.0
NOR,McLaren,35.0,0 days 00:01:24.134000,2.0,2.0,HARD,18.0
NOR,McLaren,36.0,0 days 00:01:24.536000,2.0,2.0,HARD,19.0
NOR,McLaren,37.0,0 days 00:01:24.419000,2.0,2.0,HARD,20.0
NOR,McLaren,38.0,0 days 00:01:24.607000,2.0,2.0,HARD,21.0
NOR,McLaren,39.0,0 days 00:01:24.773000,2.0,2.0,HARD,22.0
NOR,McLaren,40.0,0 days 00:01:24.797000,2.0,2.0,HARD,23.0
NOR,McLaren,41.0,0 days 00:01:24.467000,2.0,2.0,HARD,24.0
NOR,McLaren,42.0,0 days 00:01:24.480000,2.0,2.0,HARD,25.0
NOR,McLaren,43.0,0 days 00:01:24.475000,2.0,2.0,HARD,26.0
NOR,McLaren,44.0,0 days 00:01:26.696000,2.0,2.0,HARD,27.0
NOR,McLaren,45.0,0 days 00:01:41.182000,3.0,3.0,MEDIUM,4.0
NOR,McLaren,46.0,0 days 00:01:22.216000,3.0,3.0,MEDIUM,5.0
NOR,McLaren,47.0,0 days 00:01:22.572000,3.0,3.0,MEDIUM,6.0
NOR,McLaren,48.0,0 days 00:01:22.518000,3.0,3.0,MEDIUM,7.0
NOR,McLaren,49.0,0 days 00:01:22.827000,2.0,3.0,MEDIUM,8.0
NOR,McLaren,50.0,0 days 00:01:22.178000,2.0,3.0,MEDIUM,9.0
NOR,McLaren,51.0,0 days 00:01:22.794000,2.0,3.0,MEDIUM,10.0
NOR,McLaren,52.0,0 days 00:01:23.054000,2.0,3.0,MEDIUM,11.0
NOR,McLaren,53.0,0 days 00:01:23.375000,2.0,3.0,MEDIUM,12.0
NOR,McLaren,54.0,0 days 00:01:23.247000,2.0,3.0,MEDIUM,13.0
NOR,McLaren,55.0,0 days 00:01:22.706000,2.0,3.0,MEDIUM,14.0
NOR,McLaren,56.0,0 days 00:01:22.929000,2.0,3.0,MEDIUM,15.0
NOR,McLaren,57.0,0 days 00:01:23.155000,2.0,3.0,MEDIUM,16.0
NOR,McLaren,58.0,0 days 00:01:23.619000,2.0,3.0,MEDIUM,17.0
NOR,McLaren,59.0,0 days 00:01:23.974000,2.0,3.0,MEDIUM,18.0
NOR,McLaren,60.0,0 days 00:01:23.457000,2.0,3.0,MEDIUM,19.0
NOR,McLaren,61.0,0 days 00:01:23.442000,2.0,3.0,MEDIUM,20.0
NOR,McLaren,62.0,0 days 00:01:23.878000,2.0,3.0,MEDIUM,21.0
NOR,McLaren,63.0,0 days 00:01:23.409000,2.0,3.0,MEDIUM,22.0
NOR,McLaren,64.0,0 days 00:01:23.075000,2.0,3.0,MEDIUM,23.0
NOR,McLaren,65.0,0 days 00:01:22.911000,2.0,3.0,MEDIUM,24.0
NOR,McLaren,66.0,0 days 00:01:22.971000,2.0,3.0,MEDIUM,25.0
NOR,McLaren,67.0,0 days 00:01:23.036000,2.0,3.0,MEDIUM,26.0
NOR,McLaren,68.0,0 days 00:01:23.110000,2.0,3.0,MEDIUM,27.0
NOR,McLaren,69.0,0 days 00:01:23.416000,2.0,3.0,MEDIUM,28.0
