Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,1.0,0 days 00:01:55.659000,4.0,1.0,SOFT,1.0
VER,Red Bull Racing,2.0,0 days 00:01:53.103000,4.0,1.0,SOFT,2.0
VER,Red Bull Racing,3.0,0 days 00:01:52.277000,4.0,1.0,SOFT,3.0
VER,Red Bull Racing,4.0,0 days 00:01:52.789000,4.0,1.0,SOFT,4.0
VER,Red Bull Racing,5.0,0 days 00:01:52.602000,4.0,1.0,SOFT,5.0
VER,Red Bull Racing,6.0,0 days 00:01:52.130000,3.0,1.0,SOFT,6.0
VER,Red Bull Racing,7.0,0 days 00:01:52.415000,3.0,1.0,SOFT,7.0
VER,Red Bull Racing,8.0,0 days 00:01:52.472000,3.0,1.0,SOFT,8.0
VER,Red Bull Racing,9.0,0 days 00:01:51.880000,2.0,1.0,SOFT,9.0
VER,Red Bull Racing,10.0,0 days 00:01:52.455000,2.0,1.0,SOFT,10.0
VER,Red Bull Racing,11.0,0 days 00:01:52.613000,2.0,1.0,SOFT,11.0
VER,Red Bull Racing,12.0,0 days 00:01:52.714000,2.0,1.0,SOFT,12.0
VER,Red Bull Racing,13.0,0 days 00:01:52.962000,1.0,1.0,SOFT,13.0
VER,Red Bull Racing,14.0,0 days 00:01:57.166000,1.0,1.0,SOFT,14.0
VER,Red Bull Racing,15.0,0 days 00:02:03.986000,2.0,2.0,MEDIUM,1.0
VER,Red Bull Racing,16.0,0 days 00:01:50.696000,2.0,2.0,MEDIUM,2.0
VER,Red Bull Racing,17.0,0 days 00:01:50.108000,1.0,2.0,MEDIUM,3.0
VER,Red Bull Racing,18.0,0 days 00:01:51.637000,1.0,2.0,MEDIUM,4.0
VER,Red Bull Racing,19.0,0 days 00:01:51.956000,1.0,2.0,MEDIUM,5.0
VER,Red Bull Racing,20.0,0 days 00:01:55.733000,1.0,2.0,MEDIUM,6.0
VER,Red Bull Racing,21.0,0 days 00:01:54.915000,1.0,2.0,MEDIUM,7.0
VER,Red Bull Racing,22.0,0 days 00:01:55.325000,1.0,2.0,MEDIUM,8.0
VER,Red Bull Racing,23.0,0 days 00:01:52.905000,1.0,2.0,MEDIUM,9.0
VER,Red Bull Racing,24.0,0 days 00:01:50.996000,1.0,2.0,MEDIUM,10.0
VER,Red Bull Racing,25.0,0 days 00:01:51.106000,1.0,2.0,MEDIUM,11.0
VER,Red Bull Racing,26.0,0 days 00:01:51.377000,1.0,2.0,MEDIUM,12.0
VER,Red Bull Racing,27.0,0 days 00:01:51.472000,1.0,2.0,MEDIUM,13.0
VER,Red Bull Racing,28.0,0 days 00:01:51.410000,1.0,2.0,MEDIUM,14.0
VER,Red Bull Racing,29.0,0 days 00:01:51.595000,1.0,2.0,MEDIUM,15.0
VER,Red Bull Racing,30.0,0 days 00:01:55.882000,1.0,2.0,MEDIUM,16.0
VER,Red Bull Racing,31.0,0 days 00:02:03.585000,1.0,3.0,SOFT,1.0
VER,Red Bull Racing,32.0,0 days 00:01:48.922000,1.0,3.0,SOFT,2.0
VER,Red Bull Racing,33.0,0 days 00:01:50.586000,1.0,3.0,SOFT,3.0
VER,Red Bull Racing,34.0,0 days 00:01:50.792000,1.0,3.0,SOFT,4.0
VER,Red Bull Racing,35.0,0 days 00:01:50.408000,1.0,3.0,SOFT,5.0
VER,Red Bull Racing,36.0,0 days 00:01:50.362000,1.0,3.0,SOFT,6.0
VER,Red Bull Racing,37.0,0 days 00:01:50.317000,1.0,3.0,SOFT,7.0
VER,Red Bull Racing,38.0,0 days 00:01:50.147000,1.0,3.0,SOFT,8.0
VER,Red Bull Racing,39.0,0 days 00:01:50.113000,1.0,3.0,SOFT,9.0
VER,Red Bull Racing,40.0,0 days 00:01:50.067000,1.0,3.0,SOFT,10.0
VER,Red Bull Racing,41.0,0 days 00:01:49.954000,1.0,3.0,SOFT,11.0
VER,Red Bull Racing,42.0,0 days 00:01:50.187000,1.0,3.0,SOFT,12.0
VER,Red Bull Racing,43.0,0 days 00:01:50.095000,1.0,3.0,SOFT,13.0
VER,Red Bull Racing,44.0,0 days 00:01:50.579000,1.0,3.0,SOFT,14.0
PER,Red Bull Racing,1.0,0 days 00:01:53.295000,1.0,1.0,SOFT,1.0
PER,Red Bull Racing,2.0,0 days 00:01:52.166000,1.0,1.0,SOFT,2.0
PER,Red Bull Racing,3.0,0 days 00:01:52.153000,1.0,1.0,SOFT,3.0
PER,Red Bull Racing,4.0,0 days 00:01:52.336000,1.0,1.0,SOFT,4.0
PER,Red Bull Racing,5.0,0 days 00:01:52.572000,1.0,1.0,SOFT,5.0
PER,Red Bull Racing,6.0,0 days 00:01:52.466000,1.0,1.0,SOFT,6.0
PER,Red Bull Racing,7.0,0 days 00:01:52.520000,1.0,1.0,SOFT,7.0
PER,Red Bull Racing,8.0,0 days 00:01:52.305000,1.0,1.0,SOFT,8.0
PER,Red Bull Racing,9.0,0 days 00:01:52.465000,1.0,1.0,SOFT,9.0
PER,Red Bull Racing,10.0,0 days 00:01:52.720000,1.0,1.0,SOFT,10.0
PER,Red Bull Racing,11.0,0 days 00:01:52.644000,1.0,1.0,SOFT,11.0
PER,Red Bull Racing,12.0,0 days 00:01:52.973000,1.0,1.0,SOFT,12.0
PER,Red Bull Racing,13.0,0 days 00:01:57.632000,2.0,1.0,SOFT,13.0
PER,Red Bull Racing,14.0,0 days 00:02:06.242000,2.0,2.0,MEDIUM,1.0
