Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,1.0,0 days 00:01:31.585000,1.0,1.0,SOFT,1.0
VER,Red Bull Racing,2.0,0 days 00:01:49.972000,2.0,1.0,SOFT,2.0
VER,Red Bull Racing,3.0,0 days 00:01:48.658000,5.0,2.0,INTERMEDIATE,1.0
VER,Red Bull Racing,4.0,0 days 00:01:25.251000,4.0,2.0,INTERMEDIATE,2.0
VER,Red Bull Racing,5.0,0 days 00:01:23.461000,4.0,2.0,INTERMEDIATE,3.0
VER,Red Bull Racing,6.0,0 days 00:01:22.503000,3.0,2.0,INTERMEDIATE,4.0
VER,Red Bull Racing,7.0,0 days 00:01:22.116000,2.0,2.0,INTERMEDIATE,5.0
VER,Red Bull Racing,8.0,0 days 00:01:23.232000,2.0,2.0,INTERMEDIATE,6.0
VER,Red Bull Racing,9.0,0 days 00:01:23.313000,2.0,2.0,INTERMEDIATE,7.0
VER,Red Bull Racing,10.0,0 days 00:01:23.698000,2.0,2.0,INTERMEDIATE,8.0
VER,Red Bull Racing,11.0,0 days 00:01:27.017000,2.0,2.0,INTERMEDIATE,9.0
VER,Red Bull Racing,12.0,0 days 00:01:38.034000,2.0,3.0,SOFT,1.0
VER,Red Bull Racing,13.0,0 days 00:01:18.775000,1.0,3.0,SOFT,2.0
VER,Red Bull Racing,14.0,0 days 00:01:17.550000,1.0,3.0,SOFT,3.0
VER,Red Bull Racing,15.0,0 days 00:01:16.930000,1.0,3.0,SOFT,4.0
VER,Red Bull Racing,16.0,0 days 00:01:26.915000,1.0,3.0,SOFT,5.0
VER,Red Bull Racing,17.0,0 days 00:02:02.217000,1.0,3.0,SOFT,6.0
VER,Red Bull Racing,18.0,0 days 00:02:08.315000,1.0,3.0,SOFT,7.0
VER,Red Bull Racing,19.0,0 days 00:01:59.845000,1.0,3.0,SOFT,8.0
VER,Red Bull Racing,20.0,0 days 00:01:55.257000,1.0,3.0,SOFT,9.0
VER,Red Bull Racing,21.0,0 days 00:02:07.622000,1.0,3.0,SOFT,10.0
VER,Red Bull Racing,22.0,0 days 00:01:16.305000,1.0,3.0,SOFT,11.0
VER,Red Bull Racing,23.0,0 days 00:01:16.085000,1.0,3.0,SOFT,12.0
VER,Red Bull Racing,24.0,0 days 00:01:15.783000,1.0,3.0,SOFT,13.0
VER,Red Bull Racing,25.0,0 days 00:01:15.664000,1.0,3.0,SOFT,14.0
VER,Red Bull Racing,26.0,0 days 00:01:15.659000,1.0,3.0,SOFT,15.0
VER,Red Bull Racing,27.0,0 days 00:01:15.681000,1.0,3.0,SOFT,16.0
VER,Red Bull Racing,28.0,0 days 00:01:15.499000,1.0,3.0,SOFT,17.0
VER,Red Bull Racing,29.0,0 days 00:01:15.374000,1.0,3.0,SOFT,18.0
VER,Red Bull Racing,30.0,0 days 00:01:15.510000,1.0,3.0,SOFT,19.0
VER,Red Bull Racing,31.0,0 days 00:01:15.561000,1.0,3.0,SOFT,20.0
VER,Red Bull Racing,32.0,0 days 00:01:15.414000,1.0,3.0,SOFT,21.0
VER,Red Bull Racing,33.0,0 days 00:01:15.342000,1.0,3.0,SOFT,22.0
VER,Red Bull Racing,34.0,0 days 00:01:15.272000,1.0,3.0,SOFT,23.0
VER,Red Bull Racing,35.0,0 days 00:01:15.275000,1.0,3.0,SOFT,24.0
VER,Red Bull Racing,36.0,0 days 00:01:15.221000,1.0,3.0,SOFT,25.0
VER,Red Bull Racing,37.0,0 days 00:01:15.167000,1.0,3.0,SOFT,26.0
VER,Red Bull Racing,38.0,0 days 00:01:15.071000,1.0,3.0,SOFT,27.0
VER,Red Bull Racing,39.0,0 days 00:01:15.193000,1.0,3.0,SOFT,28.0
VER,Red Bull Racing,40.0,0 days 00:01:15.132000,1.0,3.0,SOFT,29.0
VER,Red Bull Racing,41.0,0 days 00:01:15.306000,1.0,3.0,SOFT,30.0
VER,Red Bull Racing,42.0,0 days 00:01:15.333000,1.0,3.0,SOFT,31.0
VER,Red Bull Racing,43.0,0 days 00:01:15.366000,1.0,3.0,SOFT,32.0
VER,Red Bull Racing,44.0,0 days 00:01:15.593000,1.0,3.0,SOFT,33.0
VER,Red Bull Racing,45.0,0 days 00:01:15.559000,1.0,3.0,SOFT,34.0
VER,Red Bull Racing,46.0,0 days 00:01:15.510000,1.0,3.0,SOFT,35.0
VER,Red Bull Racing,47.0,0 days 00:01:15.575000,1.0,3.0,SOFT,36.0
VER,Red Bull Racing,48.0,0 days 00:01:15.408000,1.0,3.0,SOFT,37.0
VER,Red Bull Racing,49.0,0 days 00:01:18.531000,1.0,3.0,SOFT,38.0
VER,Red Bull Racing,50.0,0 days 00:01:32.004000,1.0,4.0,SOFT,2.0
VER,Red Bull Racing,51.0,0 days 00:01:13.941000,1.0,4.0,SOFT,3.0
VER,Red Bull Racing,52.0,0 days 00:01:14.282000,1.0,4.0,SOFT,4.0
VER,Red Bull Racing,53.0,0 days 00:01:14.272000,1.0,4.0,SOFT,5.0
VER,Red Bull Racing,54.0,0 days 00:01:14.256000,1.0,4.0,SOFT,6.0
VER,Red Bull Racing,55.0,0 days 00:01:14.415000,1.0,4.0,SOFT,7.0
VER,Red Bull Racing,56.0,0 days 00:01:14.410000,1.0,4.0,SOFT,8.0
VER,Red Bull Racing,57.0,0 days 00:01:14.096000,1.0,4.0,SOFT,9.0
VER,Red Bull Racing,58.0,0 days 00:01:13.889000,1.0,4.0,SOFT,10.0
VER,Red Bull Racing,59.0,0 days 00:01:13.943000,1.0,4.0,SOFT,11.0
VER,Red Bull Racing,60.0,0 days 00:01:14.502000,1.0,4.0,SOFT,12.0
VER,Red Bull Racing,61.0,0 days 00:01:24.682000,1.0,4.0,SOFT,13.0
VER,Red Bull Racing,62.0,0 days 00:01:42.950000,1.0,5.0,INTERMEDIATE,13.0
VER,Red Bull Racing,63.0,0 days 00:01:32.568000,1.0,5.0,INTERMEDIATE,14.0
VER,Red Bull Racing,64.0,0 days 00:02:25.016000,1.0,6.0,WET,1.0
VER,Red Bull Racing,66.0,0 days 00:02:18.023000,1.0,7.0,INTERMEDIATE,6.0
VER,Red Bull Racing,67.0,0 days 00:01:25.536000,1.0,7.0,INTERMEDIATE,7.0
VER,Red Bull Racing,68.0,0 days 00:01:22.867000,1.0,7.0,INTERMEDIATE,8.0
VER,Red Bull Racing,69.0,0 days 00:01:21.759000,1.0,7.0,INTERMEDIATE,9.0
VER,Red Bull Racing,70.0,0 days 00:01:20.865000,1.0,7.0,INTERMEDIATE,10.0
VER,Red Bull Racing,71.0,0 days 00:01:21.024000,1.0,7.0,INTERMEDIATE,11.0
VER,Red Bull Racing,72.0,0 days 00:01:20.915000,1.0,7.0,INTERMEDIATE,12.0
GAS,Alpine,1.0,0 days 00:01:43.893000,16.0,1.0,SOFT,1.0
GAS,Alpine,2.0,0 days 00:01:54.457000,16.0,2.0,INTERMEDIATE,7.0
GAS,Alpine,3.0,0 days 00:01:31.466000,4.0,2.0,INTERMEDIATE,8.0
GAS,Alpine,4.0,0 days 00:01:25.008000,3.0,2.0,INTERMEDIATE,9.0
GAS,Alpine,5.0,0 days 00:01:23.834000,3.0,2.0,INTERMEDIATE,10.0
GAS,Alpine,6.0,0 days 00:01:24.920000,4.0,2.0,INTERMEDIATE,11.0
GAS,Alpine,7.0,0 days 00:01:23.890000,4.0,2.0,INTERMEDIATE,12.0
GAS,Alpine,8.0,0 days 00:01:24.345000,4.0,2.0,INTERMEDIATE,13.0
GAS,Alpine,9.0,0 days 00:01:25.018000,4.0,2.0,INTERMEDIATE,14.0
GAS,Alpine,10.0,0 days 00:01:25.224000,3.0,2.0,INTERMEDIATE,15.0
