Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,2.0,0 days 00:01:26.163000,2.0,1.0,MEDIUM,2.0
VER,Red Bull Racing,3.0,0 days 00:01:25.702000,2.0,1.0,MEDIUM,3.0
VER,Red Bull Racing,4.0,0 days 00:01:26.050000,2.0,1.0,MEDIUM,4.0
VER,Red Bull Racing,5.0,0 days 00:01:26.176000,2.0,1.0,MEDIUM,5.0
VER,Red Bull Racing,6.0,0 days 00:01:26.837000,2.0,1.0,MEDIUM,6.0
VER,Red Bull Racing,7.0,0 days 00:01:26.368000,2.0,1.0,MEDIUM,7.0
VER,Red Bull Racing,8.0,0 days 00:01:25.990000,2.0,1.0,MEDIUM,8.0
VER,Red Bull Racing,9.0,0 days 00:01:26.605000,2.0,1.0,MEDIUM,9.0
VER,Red Bull Racing,10.0,0 days 00:01:26.603000,2.0,1.0,MEDIUM,10.0
VER,Red Bull Racing,11.0,0 days 00:01:26.643000,2.0,1.0,MEDIUM,11.0
VER,Red Bull Racing,12.0,0 days 00:01:26.442000,2.0,1.0,MEDIUM,12.0
VER,Red Bull Racing,13.0,0 days 00:01:26.666000,2.0,1.0,MEDIUM,13.0
VER,Red Bull Racing,14.0,0 days 00:01:27.028000,2.0,1.0,MEDIUM,14.0
VER,Red Bull Racing,15.0,0 days 00:01:26.782000,1.0,1.0,MEDIUM,15.0
VER,Red Bull Racing,16.0,0 days 00:01:26.718000,1.0,1.0,MEDIUM,16.0
VER,Red Bull Racing,17.0,0 days 00:01:26.733000,1.0,1.0,MEDIUM,17.0
VER,Red Bull Racing,18.0,0 days 00:01:26.273000,1.0,1.0,MEDIUM,18.0
VER,Red Bull Racing,19.0,0 days 00:01:26.438000,1.0,1.0,MEDIUM,19.0
VER,Red Bull Racing,20.0,0 days 00:01:30.849000,1.0,1.0,MEDIUM,20.0
VER,Red Bull Racing,21.0,0 days 00:01:45.660000,5.0,2.0,HARD,1.0
VER,Red Bull Racing,22.0,0 days 00:01:25.885000,3.0,2.0,HARD,2.0
VER,Red Bull Racing,23.0,0 days 00:01:26.159000,2.0,2.0,HARD,3.0
VER,Red Bull Racing,24.0,0 days 00:01:26.327000,2.0,2.0,HARD,4.0
VER,Red Bull Racing,25.0,0 days 00:01:25.914000,1.0,2.0,HARD,5.0
VER,Red Bull Racing,26.0,0 days 00:01:25.786000,1.0,2.0,HARD,6.0
VER,Red Bull Racing,27.0,0 days 00:01:25.501000,1.0,2.0,HARD,7.0
VER,Red Bull Racing,28.0,0 days 00:01:25.434000,1.0,2.0,HARD,8.0
VER,Red Bull Racing,29.0,0 days 00:01:25.471000,1.0,2.0,HARD,9.0
VER,Red Bull Racing,30.0,0 days 00:01:25.398000,1.0,2.0,HARD,10.0
VER,Red Bull Racing,31.0,0 days 00:01:25.502000,1.0,2.0,HARD,11.0
VER,Red Bull Racing,32.0,0 days 00:01:25.410000,1.0,2.0,HARD,12.0
VER,Red Bull Racing,33.0,0 days 00:01:25.240000,1.0,2.0,HARD,13.0
VER,Red Bull Racing,34.0,0 days 00:01:25.683000,1.0,2.0,HARD,14.0
VER,Red Bull Racing,35.0,0 days 00:01:25.815000,1.0,2.0,HARD,15.0
VER,Red Bull Racing,36.0,0 days 00:01:25.598000,1.0,2.0,HARD,16.0
VER,Red Bull Racing,37.0,0 days 00:01:25.683000,1.0,2.0,HARD,17.0
VER,Red Bull Racing,38.0,0 days 00:01:25.585000,1.0,2.0,HARD,18.0
VER,Red Bull Racing,39.0,0 days 00:01:25.486000,1.0,2.0,HARD,19.0
VER,Red Bull Racing,40.0,0 days 00:01:25.901000,1.0,2.0,HARD,20.0
VER,Red Bull Racing,41.0,0 days 00:01:25.779000,1.0,2.0,HARD,21.0
VER,Red Bull Racing,42.0,0 days 00:01:25.912000,1.0,2.0,HARD,22.0
VER,Red Bull Racing,43.0,0 days 00:01:25.994000,1.0,2.0,HARD,23.0
VER,Red Bull Racing,44.0,0 days 00:01:25.751000,1.0,2.0,HARD,24.0
VER,Red Bull Racing,45.0,0 days 00:01:25.916000,1.0,2.0,HARD,25.0
VER,Red Bull Racing,46.0,0 days 00:01:26.185000,1.0,2.0,HARD,26.0
VER,Red Bull Racing,47.0,0 days 00:01:26.137000,1.0,2.0,HARD,27.0
VER,Red Bull Racing,48.0,0 days 00:01:27.235000,1.0,2.0,HARD,28.0
VER,Red Bull Racing,49.0,0 days 00:01:27.907000,1.0,2.0,HARD,29.0
VER,Red Bull Racing,50.0,0 days 00:01:28.393000,1.0,2.0,HARD,30.0
VER,Red Bull Racing,51.0,0 days 00:01:27.525000,1.0,2.0,HARD,31.0
GAS,Alpine,2.0,0 days 00:01:28.696000,17.0,1.0,MEDIUM,2.0
GAS,Alpine,3.0,0 days 00:01:27.916000,17.0,1.0,MEDIUM,3.0
GAS,Alpine,4.0,0 days 00:01:27.472000,17.0,1.0,MEDIUM,4.0
GAS,Alpine,5.0,0 days 00:01:27.694000,17.0,1.0,MEDIUM,5.0
GAS,Alpine,6.0,0 days 00:01:27.324000,17.0,1.0,MEDIUM,6.0
GAS,Alpine,7.0,0 days 00:01:27.210000,17.0,1.0,MEDIUM,7.0
GAS,Alpine,8.0,0 days 00:01:27.240000,17.0,1.0,MEDIUM,8.0
GAS,Alpine,9.0,0 days 00:01:27.366000,17.0,1.0,MEDIUM,9.0
GAS,Alpine,10.0,0 days 00:01:32.034000,18.0,1.0,MEDIUM,10.0
GAS,Alpine,11.0,0 days 00:01:50.170000,19.0,2.0,HARD,4.0
GAS,Alpine,12.0,0 days 00:01:27.431000,19.0,2.0,HARD,5.0
GAS,Alpine,13.0,0 days 00:01:27.368000,18.0,2.0,HARD,6.0
GAS,Alpine,14.0,0 days 00:01:27.348000,18.0,2.0,HARD,7.0
GAS,Alpine,15.0,0 days 00:01:27.363000,18.0,2.0,HARD,8.0
GAS,Alpine,16.0,0 days 00:01:27.088000,18.0,2.0,HARD,9.0
GAS,Alpine,17.0,0 days 00:01:27.076000,18.0,2.0,HARD,10.0
GAS,Alpine,18.0,0 days 00:01:27.053000,18.0,2.0,HARD,11.0
GAS,Alpine,19.0,0 days 00:01:27.136000,18.0,2.0,HARD,12.0
GAS,Alpine,20.0,0 days 00:01:27.035000,18.0,2.0,HARD,13.0
GAS,Alpine,21.0,0 days 00:01:27.706000,17.0,2.0,HARD,14.0
GAS,Alpine,22.0,0 days 00:01:27.219000,17.0,2.0,HARD,15.0
GAS,Alpine,23.0,0 days 00:01:27.454000,17.0,2.0,HARD,16.0
GAS,Alpine,24.0,0 days 00:01:27.060000,17.0,2.0,HARD,17.0
GAS,Alpine,25.0,0 days 00:01:27.223000,16.0,2.0,HARD,18.0
GAS,Alpine,26.0,0 days 00:01:27.590000,15.0,2.0,HARD,19.0
GAS,Alpine,27.0,0 days 00:01:27.189000,15.0,2.0,HARD,20.0
GAS,Alpine,28.0,0 days 00:01:27.521000,15.0,2.0,HARD,21.0
GAS,Alpine,29.0,0 days 00:01:27.383000,15.0,2.0,HARD,22.0
GAS,Alpine,30.0,0 days 00:01:27.658000,15.0,2.0,HARD,23.0
GAS,Alpine,31.0,0 days 00:01:32.204000,17.0,2.0,HARD,24.0
GAS,Alpine,32.0,0 days 00:01:46.720000,19.0,3.0,MEDIUM,1.0
GAS,Alpine,33.0,0 days 00:01:26.439000,19.0,3.0,MEDIUM,2.0
GAS,Alpine,34.0,0 days 00:01:26.877000,18.0,3.0,MEDIUM,3.0
GAS,Alpine,35.0,0 days 00:01:26.903000,18.0,3.0,MEDIUM,4.0
GAS,Alpine,36.0,0 days 00:01:26.797000,18.0,3.0,MEDIUM,5.0
GAS,Alpine,37.0,0 days 00:01:26.499000,18.0,3.0,MEDIUM,6.0
