Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,1.0,0 days 00:01:49.827000,10.0,1.0,HARD,1.0
VER,Red Bull Racing,2.0,0 days 00:01:41.596000,9.0,1.0,HARD,2.0
VER,Red Bull Racing,3.0,0 days 00:01:41.510000,9.0,1.0,HARD,3.0
VER,Red Bull Racing,4.0,0 days 00:01:41.143000,9.0,1.0,HARD,4.0
VER,Red Bull Racing,5.0,0 days 00:01:41.308000,9.0,1.0,HARD,5.0
VER,Red Bull Racing,6.0,0 days 00:01:41.313000,8.0,1.0,HARD,6.0
VER,Red Bull Racing,7.0,0 days 00:01:40.423000,8.0,1.0,HARD,7.0
VER,Red Bull Racing,8.0,0 days 00:01:40.177000,8.0,1.0,HARD,8.0
VER,Red Bull Racing,9.0,0 days 00:01:40.264000,8.0,1.0,HARD,9.0
VER,Red Bull Racing,10.0,0 days 00:01:40.408000,8.0,1.0,HARD,10.0
VER,Red Bull Racing,11.0,0 days 00:01:40.423000,8.0,1.0,HARD,11.0
VER,Red Bull Racing,12.0,0 days 00:01:40.602000,8.0,1.0,HARD,12.0
VER,Red Bull Racing,13.0,0 days 00:01:40.693000,8.0,1.0,HARD,13.0
VER,Red Bull Racing,14.0,0 days 00:01:40.633000,8.0,1.0,HARD,14.0
VER,Red Bull Racing,15.0,0 days 00:01:40.206000,8.0,1.0,HARD,15.0
VER,Red Bull Racing,16.0,0 days 00:01:40.390000,8.0,1.0,HARD,16.0
VER,Red Bull Racing,17.0,0 days 00:01:40.481000,8.0,1.0,HARD,17.0
VER,Red Bull Racing,18.0,0 days 00:01:40.464000,8.0,1.0,HARD,18.0
VER,Red Bull Racing,19.0,0 days 00:01:40.746000,8.0,1.0,HARD,19.0
VER,Red Bull Racing,20.0,0 days 00:01:58.294000,6.0,1.0,HARD,20.0
VER,Red Bull Racing,22.0,0 days 00:02:29.966000,2.0,1.0,HARD,22.0
VER,Red Bull Racing,23.0,0 days 00:01:43.346000,3.0,1.0,HARD,23.0
VER,Red Bull Racing,24.0,0 days 00:01:41.971000,4.0,1.0,HARD,24.0
VER,Red Bull Racing,25.0,0 days 00:01:40.700000,4.0,1.0,HARD,25.0
VER,Red Bull Racing,26.0,0 days 00:01:40.244000,4.0,1.0,HARD,26.0
VER,Red Bull Racing,27.0,0 days 00:01:41.180000,5.0,1.0,HARD,27.0
VER,Red Bull Racing,28.0,0 days 00:01:41.431000,6.0,1.0,HARD,28.0
VER,Red Bull Racing,29.0,0 days 00:01:40.437000,6.0,1.0,HARD,29.0
VER,Red Bull Racing,30.0,0 days 00:01:40.326000,6.0,1.0,HARD,30.0
VER,Red Bull Racing,31.0,0 days 00:01:40.247000,6.0,1.0,HARD,31.0
VER,Red Bull Racing,32.0,0 days 00:01:40.033000,6.0,1.0,HARD,32.0
VER,Red Bull Racing,33.0,0 days 00:01:40.087000,6.0,1.0,HARD,33.0
VER,Red Bull Racing,34.0,0 days 00:01:40.378000,6.0,1.0,HARD,34.0
VER,Red Bull Racing,35.0,0 days 00:01:40.266000,6.0,1.0,HARD,35.0
VER,Red Bull Racing,36.0,0 days 00:01:40.372000,6.0,1.0,HARD,36.0
VER,Red Bull Racing,37.0,0 days 00:01:40.224000,6.0,1.0,HARD,37.0
VER,Red Bull Racing,38.0,0 days 00:01:40.610000,6.0,1.0,HARD,38.0
VER,Red Bull Racing,39.0,0 days 00:01:41.173000,6.0,1.0,HARD,39.0
VER,Red Bull Racing,40.0,0 days 00:01:48.808000,6.0,1.0,HARD,40.0
VER,Red Bull Racing,41.0,0 days 00:01:59.248000,15.0,2.0,MEDIUM,1.0
VER,Red Bull Racing,42.0,0 days 00:01:37.713000,15.0,2.0,MEDIUM,2.0
VER,Red Bull Racing,43.0,0 days 00:01:56.357000,13.0,2.0,MEDIUM,3.0
VER,Red Bull Racing,44.0,0 days 00:02:17.522000,12.0,2.0,MEDIUM,4.0
