Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,1.0,0 days 00:02:00.179000,1.0,1.0,MEDIUM,1.0
VER,Red Bull Racing,5.0,0 days 00:01:36.748000,1.0,1.0,MEDIUM,5.0
VER,Red Bull Racing,6.0,0 days 00:01:37.837000,1.0,1.0,MEDIUM,6.0
VER,Red Bull Racing,7.0,0 days 00:01:38.033000,1.0,1.0,MEDIUM,7.0
VER,Red Bull Racing,8.0,0 days 00:01:38.148000,1.0,1.0,MEDIUM,8.0
VER,Red Bull Racing,9.0,0 days 00:01:38.241000,1.0,1.0,MEDIUM,9.0
VER,Red Bull Racing,10.0,0 days 00:01:38.301000,1.0,1.0,MEDIUM,10.0
VER,Red Bull Racing,11.0,0 days 00:01:38.519000,1.0,1.0,MEDIUM,11.0
VER,Red Bull Racing,12.0,0 days 00:01:38.651000,1.0,1.0,MEDIUM,12.0
VER,Red Bull Racing,13.0,0 days 00:01:38.689000,1.0,1.0,MEDIUM,13.0
VER,Red Bull Racing,14.0,0 days 00:01:59.754000,1.0,1.0,MEDIUM,14.0
VER,Red Bull Racing,15.0,0 days 00:01:38.373000,1.0,1.0,MEDIUM,15.0
VER,Red Bull Racing,16.0,0 days 00:01:41.172000,1.0,1.0,MEDIUM,16.0
VER,Red Bull Racing,17.0,0 days 00:01:58.025000,5.0,2.0,MEDIUM,1.0
VER,Red Bull Racing,18.0,0 days 00:01:37.399000,3.0,2.0,MEDIUM,2.0
VER,Red Bull Racing,19.0,0 days 00:01:37.769000,1.0,2.0,MEDIUM,3.0
VER,Red Bull Racing,20.0,0 days 00:01:37.344000,1.0,2.0,MEDIUM,4.0
VER,Red Bull Racing,21.0,0 days 00:01:37.565000,1.0,2.0,MEDIUM,5.0
VER,Red Bull Racing,22.0,0 days 00:01:37.592000,1.0,2.0,MEDIUM,6.0
VER,Red Bull Racing,23.0,0 days 00:01:37.722000,1.0,2.0,MEDIUM,7.0
VER,Red Bull Racing,24.0,0 days 00:01:37.714000,1.0,2.0,MEDIUM,8.0
VER,Red Bull Racing,25.0,0 days 00:01:37.946000,1.0,2.0,MEDIUM,9.0
VER,Red Bull Racing,26.0,0 days 00:01:37.903000,1.0,2.0,MEDIUM,10.0
VER,Red Bull Racing,27.0,0 days 00:01:37.865000,1.0,2.0,MEDIUM,11.0
VER,Red Bull Racing,28.0,0 days 00:01:37.558000,1.0,2.0,MEDIUM,12.0
VER,Red Bull Racing,29.0,0 days 00:01:37.424000,1.0,2.0,MEDIUM,13.0
VER,Red Bull Racing,30.0,0 days 00:01:37.599000,1.0,2.0,MEDIUM,14.0
VER,Red Bull Racing,31.0,0 days 00:01:37.599000,1.0,2.0,MEDIUM,15.0
VER,Red Bull Racing,32.0,0 days 00:01:37.920000,1.0,2.0,MEDIUM,16.0
