Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,1.0,0 days 00:01:48.811000,1.0,1.0,MEDIUM,4.0
VER,Red Bull Racing,2.0,0 days 00:02:25.603000,1.0,1.0,MEDIUM,5.0
VER,Red Bull Racing,3.0,0 days 00:02:25.963000,1.0,1.0,MEDIUM,6.0
VER,Red Bull Racing,5.0,0 days 00:01:30.273000,1.0,1.0,MEDIUM,8.0
VER,Red Bull Racing,6.0,0 days 00:01:29.409000,1.0,1.0,MEDIUM,9.0
VER,Red Bull Racing,7.0,0 days 00:01:29.083000,1.0,1.0,MEDIUM,10.0
VER,Red Bull Racing,8.0,0 days 00:01:29.362000,1.0,1.0,MEDIUM,11.0
VER,Red Bull Racing,9.0,0 days 00:01:29.326000,1.0,1.0,MEDIUM,12.0
VER,Red Bull Racing,10.0,0 days 00:01:29.457000,1.0,1.0,MEDIUM,13.0
VER,Red Bull Racing,11.0,0 days 00:01:29.357000,1.0,1.0,MEDIUM,14.0
VER,Red Bull Racing,12.0,0 days 00:01:29.202000,1.0,1.0,MEDIUM,15.0
VER,Red Bull Racing,13.0,0 days 00:01:29.015000,1.0,1.0,MEDIUM,16.0
VER,Red Bull Racing,14.0,0 days 00:01:29.123000,1.0,1.0,MEDIUM,17.0
VER,Red Bull Racing,15.0,0 days 00:01:28.712000,1.0,1.0,MEDIUM,18.0
VER,Red Bull Racing,16.0,0 days 00:01:27.875000,1.0,1.0,MEDIUM,19.0
VER,Red Bull Racing,17.0,0 days 00:01:32.205000,1.0,1.0,MEDIUM,20.0
VER,Red Bull Racing,18.0,0 days 00:01:51.774000,1.0,2.0,MEDIUM,4.0
VER,Red Bull Racing,19.0,0 days 00:01:29.076000,1.0,2.0,MEDIUM,5.0
VER,Red Bull Racing,20.0,0 days 00:01:28.454000,1.0,2.0,MEDIUM,6.0
VER,Red Bull Racing,21.0,0 days 00:01:28.106000,1.0,2.0,MEDIUM,7.0
VER,Red Bull Racing,22.0,0 days 00:01:28.024000,1.0,2.0,MEDIUM,8.0
VER,Red Bull Racing,23.0,0 days 00:01:27.891000,1.0,2.0,MEDIUM,9.0
VER,Red Bull Racing,24.0,0 days 00:01:27.814000,1.0,2.0,MEDIUM,10.0
VER,Red Bull Racing,25.0,0 days 00:01:27.775000,1.0,2.0,MEDIUM,11.0
VER,Red Bull Racing,26.0,0 days 00:01:27.768000,1.0,2.0,MEDIUM,12.0
VER,Red Bull Racing,27.0,0 days 00:01:27.806000,1.0,2.0,MEDIUM,13.0
VER,Red Bull Racing,28.0,0 days 00:01:27.742000,1.0,2.0,MEDIUM,14.0
VER,Red Bull Racing,29.0,0 days 00:01:27.588000,1.0,2.0,MEDIUM,15.0
VER,Red Bull Racing,30.0,0 days 00:01:27.515000,1.0,2.0,MEDIUM,16.0
VER,Red Bull Racing,31.0,0 days 00:01:26.966000,1.0,2.0,MEDIUM,17.0
VER,Red Bull Racing,32.0,0 days 00:01:26.665000,1.0,2.0,MEDIUM,18.0
VER,Red Bull Racing,33.0,0 days 00:01:26.622000,1.0,2.0,MEDIUM,19.0
VER,Red Bull Racing,34.0,0 days 00:01:30.996000,1.0,2.0,MEDIUM,20.0
VER,Red Bull Racing,35.0,0 days 00:01:49.802000,1.0,3.0,HARD,1.0
VER,Red Bull Racing,36.0,0 days 00:01:26.255000,1.0,3.0,HARD,2.0
VER,Red Bull Racing,37.0,0 days 00:01:26.081000,1.0,3.0,HARD,3.0
VER,Red Bull Racing,38.0,0 days 00:01:25.835000,1.0,3.0,HARD,4.0
VER,Red Bull Racing,39.0,0 days 00:01:25.815000,1.0,3.0,HARD,5.0
VER,Red Bull Racing,40.0,0 days 00:01:25.693000,1.0,3.0,HARD,6.0
VER,Red Bull Racing,41.0,0 days 00:01:25.861000,1.0,3.0,HARD,7.0
VER,Red Bull Racing,42.0,0 days 00:01:25.827000,1.0,3.0,HARD,8.0
VER,Red Bull Racing,43.0,0 days 00:01:25.880000,1.0,3.0,HARD,9.0
VER,Red Bull Racing,44.0,0 days 00:01:25.475000,1.0,3.0,HARD,10.0
VER,Red Bull Racing,45.0,0 days 00:01:25.621000,1.0,3.0,HARD,11.0
VER,Red Bull Racing,46.0,0 days 00:01:25.989000,1.0,3.0,HARD,12.0
VER,Red Bull Racing,47.0,0 days 00:01:25.969000,1.0,3.0,HARD,13.0
VER,Red Bull Racing,48.0,0 days 00:01:26.216000,1.0,3.0,HARD,14.0
VER,Red Bull Racing,49.0,0 days 00:01:25.977000,1.0,3.0,HARD,15.0
VER,Red Bull Racing,50.0,0 days 00:01:26.015000,1.0,3.0,HARD,16.0
VER,Red Bull Racing,51.0,0 days 00:01:30.719000,1.0,3.0,HARD,17.0
VER,Red Bull Racing,52.0,0 days 00:01:49.948000,1.0,4.0,MEDIUM,1.0
VER,Red Bull Racing,53.0,0 days 00:01:25.291000,1.0,4.0,MEDIUM,2.0
VER,Red Bull Racing,54.0,0 days 00:01:25.037000,1.0,4.0,MEDIUM,3.0
VER,Red Bull Racing,55.0,0 days 00:01:25.223000,1.0,4.0,MEDIUM,4.0
VER,Red Bull Racing,56.0,0 days 00:01:24.319000,1.0,4.0,MEDIUM,5.0
VER,Red Bull Racing,57.0,0 days 00:01:25.803000,1.0,4.0,MEDIUM,6.0
PIA,McLaren,1.0,0 days 00:01:51.659000,2.0,1.0,MEDIUM,7.0
PIA,McLaren,2.0,0 days 00:02:23.629000,2.0,1.0,MEDIUM,8.0
PIA,McLaren,3.0,0 days 00:02:25.896000,2.0,1.0,MEDIUM,9.0
PIA,McLaren,5.0,0 days 00:01:30.471000,2.0,1.0,MEDIUM,11.0
PIA,McLaren,6.0,0 days 00:01:29.328000,2.0,1.0,MEDIUM,12.0
PIA,McLaren,7.0,0 days 00:01:29.556000,2.0,1.0,MEDIUM,13.0
PIA,McLaren,8.0,0 days 00:01:29.847000,2.0,1.0,MEDIUM,14.0
PIA,McLaren,9.0,0 days 00:01:29.550000,2.0,1.0,MEDIUM,15.0
PIA,McLaren,10.0,0 days 00:01:29.522000,2.0,1.0,MEDIUM,16.0
PIA,McLaren,11.0,0 days 00:01:29.883000,2.0,1.0,MEDIUM,17.0
PIA,McLaren,12.0,0 days 00:01:33.032000,2.0,1.0,MEDIUM,18.0
PIA,McLaren,13.0,0 days 00:01:54.427000,13.0,2.0,MEDIUM,8.0
PIA,McLaren,14.0,0 days 00:01:30.272000,9.0,2.0,MEDIUM,9.0
PIA,McLaren,15.0,0 days 00:01:28.677000,7.0,2.0,MEDIUM,10.0
PIA,McLaren,16.0,0 days 00:01:29.100000,7.0,2.0,MEDIUM,11.0
PIA,McLaren,17.0,0 days 00:01:29.008000,6.0,2.0,MEDIUM,12.0
PIA,McLaren,18.0,0 days 00:01:28.622000,3.0,2.0,MEDIUM,13.0
PIA,McLaren,19.0,0 days 00:01:28.588000,2.0,2.0,MEDIUM,14.0
PIA,McLaren,20.0,0 days 00:01:28.206000,2.0,2.0,MEDIUM,15.0
PIA,McLaren,21.0,0 days 00:01:28.208000,2.0,2.0,MEDIUM,16.0
PIA,McLaren,22.0,0 days 00:01:28.290000,2.0,2.0,MEDIUM,17.0
PIA,McLaren,23.0,0 days 00:01:28.184000,2.0,2.0,MEDIUM,18.0
PIA,McLaren,24.0,0 days 00:01:27.926000,2.0,2.0,MEDIUM,19.0
PIA,McLaren,25.0,0 days 00:01:32.039000,2.0,2.0,MEDIUM,20.0
PIA,McLaren,26.0,0 days 00:01:51.305000,8.0,3.0,MEDIUM,1.0
PIA,McLaren,27.0,0 days 00:01:27.359000,6.0,3.0,MEDIUM,2.0
PIA,McLaren,28.0,0 days 00:01:28.135000,5.0,3.0,MEDIUM,3.0
PIA,McLaren,29.0,0 days 00:01:27.044000,4.0,3.0,MEDIUM,4.0
PIA,McLaren,30.0,0 days 00:01:27.043000,4.0,3.0,MEDIUM,5.0
PIA,McLaren,31.0,0 days 00:01:26.793000,3.0,3.0,MEDIUM,6.0
PIA,McLaren,32.0,0 days 00:01:26.308000,3.0,3.0,MEDIUM,7.0
PIA,McLaren,33.0,0 days 00:01:26.283000,2.0,3.0,MEDIUM,8.0
PIA,McLaren,34.0,0 days 00:01:26.245000,2.0,3.0,MEDIUM,9.0
PIA,McLaren,35.0,0 days 00:01:26.303000,2.0,3.0,MEDIUM,10.0
PIA,McLaren,36.0,0 days 00:01:26.549000,2.0,3.0,MEDIUM,11.0
