Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,1.0,0 days 00:01:45.537000,5.0,1.0,MEDIUM,1.0
VER,Red Bull Racing,2.0,0 days 00:01:43.009000,5.0,1.0,MEDIUM,2.0
VER,Red Bull Racing,3.0,0 days 00:01:42.700000,5.0,1.0,MEDIUM,3.0
VER,Red Bull Racing,4.0,0 days 00:01:42.623000,5.0,1.0,MEDIUM,4.0
VER,Red Bull Racing,5.0,0 days 00:01:42.151000,4.0,1.0,MEDIUM,5.0
VER,Red Bull Racing,6.0,0 days 00:01:42.857000,4.0,1.0,MEDIUM,6.0
VER,Red Bull Racing,7.0,0 days 00:01:42.817000,4.0,1.0,MEDIUM,7.0
VER,Red Bull Racing,8.0,0 days 00:01:42.598000,4.0,1.0,MEDIUM,8.0
VER,Red Bull Racing,9.0,0 days 00:01:42.969000,4.0,1.0,MEDIUM,9.0
VER,Red Bull Racing,10.0,0 days 00:01:42.741000,4.0,1.0,MEDIUM,10.0
VER,Red Bull Racing,11.0,0 days 00:01:43.147000,3.0,1.0,MEDIUM,11.0
VER,Red Bull Racing,12.0,0 days 00:01:42.515000,3.0,1.0,MEDIUM,12.0
VER,Red Bull Racing,13.0,0 days 00:01:42.569000,3.0,1.0,MEDIUM,13.0
VER,Red Bull Racing,14.0,0 days 00:01:42.334000,3.0,1.0,MEDIUM,14.0
VER,Red Bull Racing,15.0,0 days 00:01:42.654000,3.0,1.0,MEDIUM,15.0
VER,Red Bull Racing,16.0,0 days 00:01:42.571000,3.0,1.0,MEDIUM,16.0
VER,Red Bull Racing,17.0,0 days 00:02:00.701000,9.0,2.0,MEDIUM,1.0
VER,Red Bull Racing,18.0,0 days 00:01:40.989000,6.0,2.0,MEDIUM,2.0
VER,Red Bull Racing,19.0,0 days 00:01:40.809000,5.0,2.0,MEDIUM,3.0
VER,Red Bull Racing,20.0,0 days 00:01:40.883000,5.0,2.0,MEDIUM,4.0
VER,Red Bull Racing,21.0,0 days 00:01:40.980000,4.0,2.0,MEDIUM,5.0
VER,Red Bull Racing,22.0,0 days 00:01:41.129000,3.0,2.0,MEDIUM,6.0
VER,Red Bull Racing,23.0,0 days 00:01:40.921000,3.0,2.0,MEDIUM,7.0
VER,Red Bull Racing,24.0,0 days 00:01:41.203000,2.0,2.0,MEDIUM,8.0
VER,Red Bull Racing,25.0,0 days 00:01:41.268000,2.0,2.0,MEDIUM,9.0
VER,Red Bull Racing,26.0,0 days 00:01:41.857000,2.0,2.0,MEDIUM,10.0
VER,Red Bull Racing,27.0,0 days 00:01:41.795000,2.0,2.0,MEDIUM,11.0
VER,Red Bull Racing,28.0,0 days 00:01:41.574000,1.0,2.0,MEDIUM,12.0
VER,Red Bull Racing,29.0,0 days 00:01:41.592000,1.0,2.0,MEDIUM,13.0
VER,Red Bull Racing,30.0,0 days 00:01:41.658000,1.0,2.0,MEDIUM,14.0
VER,Red Bull Racing,31.0,0 days 00:01:41.337000,1.0,2.0,MEDIUM,15.0
VER,Red Bull Racing,32.0,0 days 00:01:41.576000,1.0,2.0,MEDIUM,16.0
VER,Red Bull Racing,33.0,0 days 00:01:41.507000,1.0,2.0,MEDIUM,17.0
VER,Red Bull Racing,34.0,0 days 00:01:41.581000,1.0,2.0,MEDIUM,18.0
VER,Red Bull Racing,35.0,0 days 00:01:41.777000,1.0,2.0,MEDIUM,19.0
VER,Red Bull Racing,36.0,0 days 00:02:02.166000,4.0,3.0,HARD,1.0
VER,Red Bull Racing,37.0,0 days 00:01:40.763000,4.0,3.0,HARD,2.0
VER,Red Bull Racing,38.0,0 days 00:01:40.439000,3.0,3.0,HARD,3.0
VER,Red Bull Racing,39.0,0 days 00:01:40.124000,1.0,3.0,HARD,4.0
VER,Red Bull Racing,40.0,0 days 00:01:40.028000,1.0,3.0,HARD,5.0
VER,Red Bull Racing,41.0,0 days 00:01:40.449000,1.0,3.0,HARD,6.0
VER,Red Bull Racing,42.0,0 days 00:01:40.349000,1.0,3.0,HARD,7.0
VER,Red Bull Racing,43.0,0 days 00:01:40.212000,1.0,3.0,HARD,8.0
VER,Red Bull Racing,44.0,0 days 00:01:40.770000,1.0,3.0,HARD,9.0
