Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,1.0,0 days 00:01:25.653000,1.0,1.0,MEDIUM,1.0
VER,Red Bull Racing,2.0,0 days 00:01:23.859000,1.0,1.0,MEDIUM,2.0
VER,Red Bull Racing,3.0,0 days 00:01:23.573000,1.0,1.0,MEDIUM,3.0
VER,Red Bull Racing,4.0,0 days 00:01:23.708000,1.0,1.0,MEDIUM,4.0
VER,Red Bull Racing,5.0,0 days 00:01:44.819000,1.0,1.0,MEDIUM,5.0
VER,Red Bull Racing,6.0,0 days 00:01:23.339000,1.0,1.0,MEDIUM,6.0
VER,Red Bull Racing,7.0,0 days 00:01:23.453000,1.0,1.0,MEDIUM,7.0
VER,Red Bull Racing,8.0,0 days 00:01:23.357000,1.0,1.0,MEDIUM,8.0
VER,Red Bull Racing,9.0,0 days 00:01:23.218000,1.0,1.0,MEDIUM,9.0
VER,Red Bull Racing,10.0,0 days 00:01:23.276000,1.0,1.0,MEDIUM,10.0
VER,Red Bull Racing,11.0,0 days 00:01:23.626000,1.0,1.0,MEDIUM,11.0
VER,Red Bull Racing,12.0,0 days 00:01:23.644000,1.0,1.0,MEDIUM,12.0
VER,Red Bull Racing,13.0,0 days 00:01:23.792000,1.0,1.0,MEDIUM,13.0
VER,Red Bull Racing,14.0,0 days 00:01:23.695000,1.0,1.0,MEDIUM,14.0
VER,Red Bull Racing,15.0,0 days 00:01:23.714000,1.0,1.0,MEDIUM,15.0
VER,Red Bull Racing,16.0,0 days 00:01:23.585000,1.0,1.0,MEDIUM,16.0
VER,Red Bull Racing,17.0,0 days 00:01:23.644000,1.0,1.0,MEDIUM,17.0
VER,Red Bull Racing,18.0,0 days 00:01:23.927000,1.0,1.0,MEDIUM,18.0
VER,Red Bull Racing,19.0,0 days 00:01:26.825000,1.0,1.0,MEDIUM,19.0
VER,Red Bull Racing,20.0,0 days 00:01:41.221000,7.0,2.0,HARD,1.0
VER,Red Bull Racing,21.0,0 days 00:01:22.643000,7.0,2.0,HARD,2.0
VER,Red Bull Racing,22.0,0 days 00:01:22.622000,6.0,2.0,HARD,3.0
VER,Red Bull Racing,23.0,0 days 00:01:22.781000,5.0,2.0,HARD,4.0
VER,Red Bull Racing,24.0,0 days 00:01:23.762000,5.0,2.0,HARD,5.0
VER,Red Bull Racing,25.0,0 days 00:01:22.354000,3.0,2.0,HARD,6.0
VER,Red Bull Racing,26.0,0 days 00:01:22.972000,3.0,2.0,HARD,7.0
VER,Red Bull Racing,27.0,0 days 00:01:23.023000,3.0,2.0,HARD,8.0
VER,Red Bull Racing,28.0,0 days 00:01:23.162000,3.0,2.0,HARD,9.0
VER,Red Bull Racing,29.0,0 days 00:01:22.224000,2.0,2.0,HARD,10.0
VER,Red Bull Racing,30.0,0 days 00:01:22.904000,2.0,2.0,HARD,11.0
VER,Red Bull Racing,31.0,0 days 00:01:23.436000,2.0,2.0,HARD,12.0
VER,Red Bull Racing,32.0,0 days 00:01:23.204000,1.0,2.0,HARD,13.0
VER,Red Bull Racing,33.0,0 days 00:01:35.664000,1.0,2.0,HARD,14.0
VER,Red Bull Racing,37.0,0 days 00:01:22.471000,1.0,4.0,HARD,4.0
VER,Red Bull Racing,38.0,0 days 00:01:22.185000,1.0,4.0,HARD,5.0
