Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,1.0,0 days 00:01:59.857000,1.0,1.0,SOFT,4.0
VER,Red Bull Racing,2.0,0 days 00:02:23.356000,1.0,2.0,SOFT,5.0
VER,Red Bull Racing,4.0,0 days 00:02:12.670000,1.0,3.0,SOFT,5.0
VER,Red Bull Racing,5.0,0 days 00:01:15.745000,1.0,3.0,SOFT,6.0
VER,Red Bull Racing,6.0,0 days 00:01:15.547000,1.0,3.0,SOFT,7.0
VER,Red Bull Racing,7.0,0 days 00:01:15.591000,1.0,3.0,SOFT,8.0
VER,Red Bull Racing,8.0,0 days 00:01:15.864000,1.0,3.0,SOFT,9.0
VER,Red Bull Racing,9.0,0 days 00:01:16.169000,1.0,3.0,SOFT,10.0
VER,Red Bull Racing,10.0,0 days 00:01:15.989000,1.0,3.0,SOFT,11.0
VER,Red Bull Racing,11.0,0 days 00:01:16.272000,1.0,3.0,SOFT,12.0
VER,Red Bull Racing,12.0,0 days 00:01:15.879000,1.0,3.0,SOFT,13.0
VER,Red Bull Racing,13.0,0 days 00:01:16.299000,1.0,3.0,SOFT,14.0
VER,Red Bull Racing,14.0,0 days 00:01:16.080000,1.0,3.0,SOFT,15.0
VER,Red Bull Racing,15.0,0 days 00:01:16.408000,1.0,3.0,SOFT,16.0
VER,Red Bull Racing,16.0,0 days 00:01:16.305000,1.0,3.0,SOFT,17.0
VER,Red Bull Racing,17.0,0 days 00:01:16.170000,1.0,3.0,SOFT,18.0
VER,Red Bull Racing,18.0,0 days 00:01:16.341000,1.0,3.0,SOFT,19.0
VER,Red Bull Racing,19.0,0 days 00:01:16.047000,1.0,3.0,SOFT,20.0
VER,Red Bull Racing,20.0,0 days 00:01:15.996000,1.0,3.0,SOFT,21.0
VER,Red Bull Racing,21.0,0 days 00:01:16.207000,1.0,3.0,SOFT,22.0
VER,Red Bull Racing,22.0,0 days 00:01:16.206000,1.0,3.0,SOFT,23.0
VER,Red Bull Racing,23.0,0 days 00:01:16.026000,1.0,3.0,SOFT,24.0
VER,Red Bull Racing,24.0,0 days 00:01:16.397000,1.0,3.0,SOFT,25.0
VER,Red Bull Racing,25.0,0 days 00:01:16.269000,1.0,3.0,SOFT,26.0
VER,Red Bull Racing,26.0,0 days 00:01:16.435000,1.0,3.0,SOFT,27.0
VER,Red Bull Racing,27.0,0 days 00:01:20.264000,1.0,3.0,SOFT,28.0
VER,Red Bull Racing,28.0,0 days 00:01:32.801000,1.0,4.0,MEDIUM,1.0
VER,Red Bull Racing,29.0,0 days 00:01:15.713000,1.0,4.0,MEDIUM,2.0
VER,Red Bull Racing,30.0,0 days 00:01:15.799000,1.0,4.0,MEDIUM,3.0
VER,Red Bull Racing,31.0,0 days 00:01:15.787000,1.0,4.0,MEDIUM,4.0
VER,Red Bull Racing,32.0,0 days 00:01:15.439000,1.0,4.0,MEDIUM,5.0
VER,Red Bull Racing,33.0,0 days 00:01:15.174000,1.0,4.0,MEDIUM,6.0
VER,Red Bull Racing,34.0,0 days 00:01:15.115000,1.0,4.0,MEDIUM,7.0
VER,Red Bull Racing,35.0,0 days 00:01:15.157000,1.0,4.0,MEDIUM,8.0
VER,Red Bull Racing,36.0,0 days 00:01:15.125000,1.0,4.0,MEDIUM,9.0
VER,Red Bull Racing,37.0,0 days 00:01:14.682000,1.0,4.0,MEDIUM,10.0
VER,Red Bull Racing,38.0,0 days 00:01:14.954000,1.0,4.0,MEDIUM,11.0
VER,Red Bull Racing,39.0,0 days 00:01:14.974000,1.0,4.0,MEDIUM,12.0
VER,Red Bull Racing,40.0,0 days 00:01:15.218000,1.0,4.0,MEDIUM,13.0
VER,Red Bull Racing,41.0,0 days 00:01:15.355000,1.0,4.0,MEDIUM,14.0
VER,Red Bull Racing,42.0,0 days 00:01:15.202000,1.0,4.0,MEDIUM,15.0
VER,Red Bull Racing,43.0,0 days 00:01:15.052000,1.0,4.0,MEDIUM,16.0
VER,Red Bull Racing,44.0,0 days 00:01:15.320000,1.0,4.0,MEDIUM,17.0
VER,Red Bull Racing,45.0,0 days 00:01:15.471000,1.0,4.0,MEDIUM,18.0
VER,Red Bull Racing,46.0,0 days 00:01:15.329000,1.0,4.0,MEDIUM,19.0
VER,Red Bull Racing,47.0,0 days 00:01:15.362000,1.0,4.0,MEDIUM,20.0
VER,Red Bull Racing,48.0,0 days 00:01:15.524000,1.0,4.0,MEDIUM,21.0
VER,Red Bull Racing,49.0,0 days 00:01:15.442000,1.0,4.0,MEDIUM,22.0
VER,Red Bull Racing,50.0,0 days 00:01:15.436000,1.0,4.0,MEDIUM,23.0
VER,Red Bull Racing,51.0,0 days 00:01:15.440000,1.0,4.0,MEDIUM,24.0
VER,Red Bull Racing,52.0,0 days 00:01:15.390000,1.0,4.0,MEDIUM,25.0
VER,Red Bull Racing,53.0,0 days 00:01:15.306000,1.0,4.0,MEDIUM,26.0
VER,Red Bull Racing,54.0,0 days 00:01:15.388000,1.0,4.0,MEDIUM,27.0
VER,Red Bull Racing,55.0,0 days 00:01:15.521000,1.0,4.0,MEDIUM,28.0
VER,Red Bull Racing,56.0,0 days 00:01:19.309000,1.0,4.0,MEDIUM,29.0
VER,Red Bull Racing,57.0,0 days 00:01:31.318000,2.0,5.0,SOFT,1.0
VER,Red Bull Racing,58.0,0 days 00:01:14.044000,2.0,5.0,SOFT,2.0
VER,Red Bull Racing,59.0,0 days 00:01:14.089000,2.0,5.0,SOFT,3.0
VER,Red Bull Racing,60.0,0 days 00:01:14.265000,1.0,5.0,SOFT,4.0
VER,Red Bull Racing,61.0,0 days 00:01:14.584000,1.0,5.0,SOFT,5.0
VER,Red Bull Racing,62.0,0 days 00:01:14.512000,1.0,5.0,SOFT,6.0
VER,Red Bull Racing,63.0,0 days 00:01:14.349000,1.0,5.0,SOFT,7.0
VER,Red Bull Racing,64.0,0 days 00:01:14.093000,1.0,5.0,SOFT,8.0
VER,Red Bull Racing,65.0,0 days 00:01:14.016000,1.0,5.0,SOFT,9.0
VER,Red Bull Racing,66.0,0 days 00:01:13.766000,1.0,5.0,SOFT,10.0
VER,Red Bull Racing,67.0,0 days 00:01:13.530000,1.0,5.0,SOFT,11.0
VER,Red Bull Racing,68.0,0 days 00:01:13.422000,1.0,5.0,SOFT,12.0
VER,Red Bull Racing,69.0,0 days 00:01:14.059000,1.0,5.0,SOFT,13.0
VER,Red Bull Racing,70.0,0 days 00:01:13.568000,1.0,5.0,SOFT,14.0
VER,Red Bull Racing,71.0,0 days 00:01:13.935000,1.0,5.0,SOFT,15.0
NOR,McLaren,1.0,0 days 00:02:01.881000,2.0,1.0,SOFT,4.0
NOR,McLaren,2.0,0 days 00:02:22.520000,2.0,2.0,SOFT,5.0
NOR,McLaren,4.0,0 days 00:02:10.857000,2.0,3.0,SOFT,2.0
NOR,McLaren,5.0,0 days 00:01:16.231000,2.0,3.0,SOFT,3.0
NOR,McLaren,6.0,0 days 00:01:14.940000,2.0,3.0,SOFT,4.0
NOR,McLaren,7.0,0 days 00:01:15.428000,2.0,3.0,SOFT,5.0
NOR,McLaren,8.0,0 days 00:01:16.737000,2.0,3.0,SOFT,6.0
NOR,McLaren,9.0,0 days 00:01:16.576000,2.0,3.0,SOFT,7.0
NOR,McLaren,10.0,0 days 00:01:16.671000,2.0,3.0,SOFT,8.0
NOR,McLaren,11.0,0 days 00:01:16.043000,2.0,3.0,SOFT,9.0
NOR,McLaren,12.0,0 days 00:01:16.015000,2.0,3.0,SOFT,10.0
NOR,McLaren,13.0,0 days 00:01:16.365000,2.0,3.0,SOFT,11.0
NOR,McLaren,14.0,0 days 00:01:16.270000,2.0,3.0,SOFT,12.0
NOR,McLaren,15.0,0 days 00:01:16.174000,2.0,3.0,SOFT,13.0
NOR,McLaren,16.0,0 days 00:01:16.504000,2.0,3.0,SOFT,14.0
NOR,McLaren,17.0,0 days 00:01:16.515000,2.0,3.0,SOFT,15.0
NOR,McLaren,18.0,0 days 00:01:16.267000,2.0,3.0,SOFT,16.0
NOR,McLaren,19.0,0 days 00:01:16.058000,2.0,3.0,SOFT,17.0
NOR,McLaren,20.0,0 days 00:01:16.330000,2.0,3.0,SOFT,18.0
NOR,McLaren,21.0,0 days 00:01:16.355000,2.0,3.0,SOFT,19.0
NOR,McLaren,22.0,0 days 00:01:16.196000,2.0,3.0,SOFT,20.0
NOR,McLaren,23.0,0 days 00:01:16.343000,2.0,3.0,SOFT,21.0
NOR,McLaren,24.0,0 days 00:01:16.512000,2.0,3.0,SOFT,22.0
NOR,McLaren,25.0,0 days 00:01:16.315000,2.0,3.0,SOFT,23.0
