Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,1.0,0 days 00:01:45.670000,1.0,1.0,MEDIUM,1.0
VER,Red Bull Racing,2.0,0 days 00:02:13.011000,1.0,1.0,MEDIUM,2.0
VER,Red Bull Racing,3.0,0 days 00:01:49.988000,1.0,1.0,MEDIUM,3.0
VER,Red Bull Racing,7.0,0 days 00:01:40.785000,1.0,1.0,MEDIUM,7.0
VER,Red Bull Racing,8.0,0 days 00:01:40.142000,1.0,1.0,MEDIUM,8.0
VER,Red Bull Racing,9.0,0 days 00:01:39.669000,1.0,1.0,MEDIUM,9.0
VER,Red Bull Racing,10.0,0 days 00:01:39.484000,1.0,1.0,MEDIUM,10.0
VER,Red Bull Racing,11.0,0 days 00:01:38.763000,1.0,1.0,MEDIUM,11.0
VER,Red Bull Racing,12.0,0 days 00:01:38.773000,1.0,1.0,MEDIUM,12.0
VER,Red Bull Racing,13.0,0 days 00:01:38.759000,1.0,1.0,MEDIUM,13.0
VER,Red Bull Racing,14.0,0 days 00:01:38.942000,1.0,1.0,MEDIUM,14.0
VER,Red Bull Racing,15.0,0 days 00:01:39.477000,1.0,1.0,MEDIUM,15.0
VER,Red Bull Racing,16.0,0 days 00:01:44.727000,2.0,1.0,MEDIUM,16.0
VER,Red Bull Racing,17.0,0 days 00:02:02.018000,10.0,2.0,HARD,1.0
VER,Red Bull Racing,18.0,0 days 00:01:38.348000,9.0,2.0,HARD,2.0
VER,Red Bull Racing,19.0,0 days 00:01:38.335000,9.0,2.0,HARD,3.0
VER,Red Bull Racing,20.0,0 days 00:01:39.611000,8.0,2.0,HARD,4.0
VER,Red Bull Racing,21.0,0 days 00:01:37.880000,7.0,2.0,HARD,5.0
VER,Red Bull Racing,22.0,0 days 00:01:38.605000,7.0,2.0,HARD,6.0
VER,Red Bull Racing,23.0,0 days 00:01:37.988000,6.0,2.0,HARD,7.0
VER,Red Bull Racing,24.0,0 days 00:01:38.482000,5.0,2.0,HARD,8.0
VER,Red Bull Racing,25.0,0 days 00:01:38.943000,4.0,2.0,HARD,9.0
VER,Red Bull Racing,26.0,0 days 00:01:53.326000,4.0,2.0,HARD,10.0
VER,Red Bull Racing,29.0,0 days 00:01:40.938000,5.0,3.0,HARD,3.0
VER,Red Bull Racing,30.0,0 days 00:01:38.469000,5.0,3.0,HARD,4.0
VER,Red Bull Racing,31.0,0 days 00:01:37.748000,4.0,3.0,HARD,5.0
VER,Red Bull Racing,32.0,0 days 00:01:36.603000,4.0,3.0,HARD,6.0
VER,Red Bull Racing,33.0,0 days 00:01:36.596000,3.0,3.0,HARD,7.0
VER,Red Bull Racing,34.0,0 days 00:01:36.359000,3.0,3.0,HARD,8.0
VER,Red Bull Racing,35.0,0 days 00:01:36.239000,3.0,3.0,HARD,9.0
VER,Red Bull Racing,36.0,0 days 00:01:36.276000,2.0,3.0,HARD,10.0
VER,Red Bull Racing,37.0,0 days 00:01:36.660000,1.0,3.0,HARD,11.0
VER,Red Bull Racing,38.0,0 days 00:01:36.100000,1.0,3.0,HARD,12.0
VER,Red Bull Racing,39.0,0 days 00:01:35.938000,1.0,3.0,HARD,13.0
VER,Red Bull Racing,40.0,0 days 00:01:35.997000,1.0,3.0,HARD,14.0
VER,Red Bull Racing,41.0,0 days 00:01:35.920000,1.0,3.0,HARD,15.0
VER,Red Bull Racing,42.0,0 days 00:01:36.212000,1.0,3.0,HARD,16.0
VER,Red Bull Racing,43.0,0 days 00:01:35.983000,1.0,3.0,HARD,17.0
VER,Red Bull Racing,44.0,0 days 00:01:35.614000,1.0,3.0,HARD,18.0
VER,Red Bull Racing,45.0,0 days 00:01:35.867000,1.0,3.0,HARD,19.0
VER,Red Bull Racing,46.0,0 days 00:01:35.896000,1.0,3.0,HARD,20.0
VER,Red Bull Racing,47.0,0 days 00:01:35.879000,1.0,3.0,HARD,21.0
VER,Red Bull Racing,48.0,0 days 00:01:36.497000,1.0,3.0,HARD,22.0
VER,Red Bull Racing,49.0,0 days 00:01:36.950000,1.0,3.0,HARD,23.0
VER,Red Bull Racing,50.0,0 days 00:01:37.637000,1.0,3.0,HARD,24.0
GAS,Alpine,1.0,0 days 00:01:50.543000,4.0,1.0,MEDIUM,1.0
GAS,Alpine,2.0,0 days 00:02:11.689000,4.0,1.0,MEDIUM,2.0
GAS,Alpine,3.0,0 days 00:01:50.381000,4.0,1.0,MEDIUM,3.0
GAS,Alpine,7.0,0 days 00:01:42.346000,4.0,1.0,MEDIUM,7.0
GAS,Alpine,8.0,0 days 00:01:40.560000,4.0,1.0,MEDIUM,8.0
GAS,Alpine,9.0,0 days 00:01:39.677000,4.0,1.0,MEDIUM,9.0
GAS,Alpine,10.0,0 days 00:01:39.005000,4.0,1.0,MEDIUM,10.0
GAS,Alpine,11.0,0 days 00:01:39.446000,4.0,1.0,MEDIUM,11.0
GAS,Alpine,12.0,0 days 00:01:39.088000,4.0,1.0,MEDIUM,12.0
GAS,Alpine,13.0,0 days 00:01:39.410000,4.0,1.0,MEDIUM,13.0
GAS,Alpine,14.0,0 days 00:01:39.776000,4.0,1.0,MEDIUM,14.0
GAS,Alpine,15.0,0 days 00:01:40.333000,3.0,1.0,MEDIUM,15.0
GAS,Alpine,16.0,0 days 00:01:40.814000,3.0,1.0,MEDIUM,16.0
GAS,Alpine,17.0,0 days 00:01:45.772000,4.0,1.0,MEDIUM,17.0
GAS,Alpine,18.0,0 days 00:01:57.332000,10.0,2.0,HARD,1.0
GAS,Alpine,19.0,0 days 00:01:39.315000,10.0,2.0,HARD,2.0
GAS,Alpine,20.0,0 days 00:01:39.218000,10.0,2.0,HARD,3.0
GAS,Alpine,21.0,0 days 00:01:38.774000,9.0,2.0,HARD,4.0
GAS,Alpine,22.0,0 days 00:01:38.683000,9.0,2.0,HARD,5.0
GAS,Alpine,23.0,0 days 00:01:38.585000,9.0,2.0,HARD,6.0
GAS,Alpine,24.0,0 days 00:01:39.209000,8.0,2.0,HARD,7.0
GAS,Alpine,25.0,0 days 00:01:38.494000,8.0,2.0,HARD,8.0
GAS,Alpine,26.0,0 days 00:01:54.475000,8.0,2.0,HARD,9.0
GAS,Alpine,29.0,0 days 00:01:41.251000,4.0,2.0,HARD,12.0
GAS,Alpine,30.0,0 days 00:01:38.720000,4.0,2.0,HARD,13.0
GAS,Alpine,31.0,0 days 00:01:38.772000,5.0,2.0,HARD,14.0
GAS,Alpine,32.0,0 days 00:01:37.736000,5.0,2.0,HARD,15.0
GAS,Alpine,33.0,0 days 00:01:37.805000,5.0,2.0,HARD,16.0
GAS,Alpine,34.0,0 days 00:01:38.586000,6.0,2.0,HARD,17.0
GAS,Alpine,35.0,0 days 00:01:37.528000,6.0,2.0,HARD,18.0
GAS,Alpine,36.0,0 days 00:01:37.126000,6.0,2.0,HARD,19.0
GAS,Alpine,37.0,0 days 00:01:36.913000,6.0,2.0,HARD,20.0
GAS,Alpine,38.0,0 days 00:01:37.004000,6.0,2.0,HARD,21.0
GAS,Alpine,39.0,0 days 00:01:37.603000,6.0,2.0,HARD,22.0
GAS,Alpine,40.0,0 days 00:01:37.789000,6.0,2.0,HARD,23.0
GAS,Alpine,41.0,0 days 00:01:38.760000,7.0,2.0,HARD,24.0
GAS,Alpine,42.0,0 days 00:01:38.094000,7.0,2.0,HARD,25.0
GAS,Alpine,43.0,0 days 00:01:38.666000,8.0,2.0,HARD,26.0
GAS,Alpine,44.0,0 days 00:01:39.943000,10.0,2.0,HARD,27.0
GAS,Alpine,45.0,0 days 00:01:38.829000,10.0,2.0,HARD,28.0
GAS,Alpine,46.0,0 days 00:01:38.079000,10.0,2.0,HARD,29.0
GAS,Alpine,47.0,0 days 00:01:37.907000,10.0,2.0,HARD,30.0
GAS,Alpine,48.0,0 days 00:01:38.217000,11.0,2.0,HARD,31.0
