Driver,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife
VER,Red Bull Racing,1.0,0 days 00:01:32.190000,1.0,1.0,MEDIUM,1.0
VER,Red Bull Racing,2.0,0 days 00:01:30.710000,1.0,1.0,MEDIUM,2.0
VER,Red Bull Racing,3.0,0 days 00:01:30.408000,1.0,1.0,MEDIUM,3.0
VER,Red Bull Racing,4.0,0 days 00:01:30.716000,1.0,1.0,MEDIUM,4.0
VER,Red Bull Racing,5.0,0 days 00:01:30.552000,1.0,1.0,MEDIUM,5.0
VER,Red Bull Racing,6.0,0 days 00:01:30.440000,1.0,1.0,MEDIUM,6.0
VER,Red Bull Racing,7.0,0 days 00:01:30.529000,1.0,1.0,MEDIUM,7.0
VER,Red Bull Racing,8.0,0 days 00:01:30.516000,1.0,1.0,MEDIUM,8.0
VER,Red Bull Racing,9.0,0 days 00:01:30.632000,1.0,1.0,MEDIUM,9.0
VER,Red Bull Racing,10.0,0 days 00:01:30.506000,1.0,1.0,MEDIUM,10.0
VER,Red Bull Racing,11.0,0 days 00:01:30.561000,1.0,1.0,MEDIUM,11.0
VER,Red Bull Racing,12.0,0 days 00:01:30.590000,1.0,1.0,MEDIUM,12.0
VER,Red Bull Racing,13.0,0 days 00:01:30.561000,1.0,1.0,MEDIUM,13.0
VER,Red Bull Racing,14.0,0 days 00:01:30.647000,1.0,1.0,MEDIUM,14.0
VER,Red Bull Racing,15.0,0 days 00:01:30.267000,1.0,1.0,MEDIUM,15.0
VER,Red Bull Racing,16.0,0 days 00:01:32.558000,1.0,1.0,MEDIUM,16.0
VER,Red Bull Racing,17.0,0 days 00:01:50.188000,7.0,2.0,HARD,1.0
VER,Red Bull Racing,18.0,0 days 00:01:29.896000,4.0,2.0,HARD,2.0
VER,Red Bull Racing,19.0,0 days 00:01:29.386000,3.0,2.0,HARD,3.0
VER,Red Bull Racing,20.0,0 days 00:01:29.628000,3.0,2.0,HARD,4.0
VER,Red Bull Racing,21.0,0 days 00:01:29.127000,2.0,2.0,HARD,5.0
VER,Red Bull Racing,22.0,0 days 00:01:29.689000,2.0,2.0,HARD,6.0
VER,Red Bull Racing,23.0,0 days 00:01:29.634000,1.0,2.0,HARD,7.0
VER,Red Bull Racing,24.0,0 days 00:01:29.293000,1.0,2.0,HARD,8.0
VER,Red Bull Racing,25.0,0 days 00:01:29.401000,1.0,2.0,HARD,9.0
VER,Red Bull Racing,26.0,0 days 00:01:29.289000,1.0,2.0,HARD,10.0
VER,Red Bull Racing,27.0,0 days 00:01:29.156000,1.0,2.0,HARD,11.0
VER,Red Bull Racing,28.0,0 days 00:01:29.217000,1.0,2.0,HARD,12.0
VER,Red Bull Racing,29.0,0 days 00:01:29.183000,1.0,2.0,HARD,13.0
VER,Red Bull Racing,30.0,0 days 00:01:29.266000,1.0,2.0,HARD,14.0
VER,Red Bull Racing,31.0,0 days 00:01:29.149000,1.0,2.0,HARD,15.0
VER,Red Bull Racing,32.0,0 days 00:01:29.100000,1.0,2.0,HARD,16.0
VER,Red Bull Racing,33.0,0 days 00:01:29.137000,1.0,2.0,HARD,17.0
VER,Red Bull Racing,34.0,0 days 00:01:29.077000,1.0,2.0,HARD,18.0
VER,Red Bull Racing,35.0,0 days 00:01:29.148000,1.0,2.0,HARD,19.0
VER,Red Bull Racing,36.0,0 days 00:01:28.902000,1.0,2.0,HARD,20.0
VER,Red Bull Racing,37.0,0 days 00:01:28.910000,1.0,2.0,HARD,21.0
VER,Red Bull Racing,38.0,0 days 00:01:29.073000,1.0,2.0,HARD,22.0
VER,Red Bull Racing,39.0,0 days 00:01:28.849000,1.0,2.0,HARD,23.0
VER,Red Bull Racing,40.0,0 days 00:01:29.053000,1.0,2.0,HARD,24.0
VER,Red Bull Racing,41.0,0 days 00:01:29.003000,1.0,2.0,HARD,25.0
VER,Red Bull Racing,42.0,0 days 00:01:29.082000,1.0,2.0,HARD,26.0
VER,Red Bull Racing,43.0,0 days 00:01:31.391000,1.0,2.0,HARD,27.0
VER,Red Bull Racing,44.0,0 days 00:01:48.170000,1.0,3.0,HARD,1.0
VER,Red Bull Racing,45.0,0 days 00:01:26.993000,1.0,3.0,HARD,2.0
VER,Red Bull Racing,46.0,0 days 00:01:27.902000,1.0,3.0,HARD,3.0
VER,Red Bull Racing,47.0,0 days 00:01:27.962000,1.0,3.0,HARD,4.0
VER,Red Bull Racing,48.0,0 days 00:01:27.968000,1.0,3.0,HARD,5.0
VER,Red Bull Racing,49.0,0 days 00:01:27.901000,1.0,3.0,HARD,6.0
VER,Red Bull Racing,50.0,0 days 00:01:28.040000,1.0,3.0,HARD,7.0
VER,Red Bull Racing,51.0,0 days 00:01:27.849000,1.0,3.0,HARD,8.0
VER,Red Bull Racing,52.0,0 days 00:01:27.851000,1.0,3.0,HARD,9.0
VER,Red Bull Racing,53.0,0 days 00:01:27.683000,1.0,3.0,HARD,10.0
VER,Red Bull Racing,54.0,0 days 00:01:27.513000,1.0,3.0,HARD,11.0
VER,Red Bull Racing,55.0,0 days 00:01:27.930000,1.0,3.0,HARD,12.0
VER,Red Bull Racing,56.0,0 days 00:01:27.727000,1.0,3.0,HARD,13.0
VER,Red Bull Racing,57.0,0 days 00:01:27.980000,1.0,3.0,HARD,14.0
VER,Red Bull Racing,58.0,0 days 00:01:28.545000,1.0,3.0,HARD,15.0
LEC,Ferrari,1.0,0 days 00:01:33.119000,2.0,1.0,MEDIUM,1.0
LEC,Ferrari,2.0,0 days 00:01:31.117000,2.0,1.0,MEDIUM,2.0
LEC,Ferrari,3.0,0 days 00:01:30.500000,2.0,1.0,MEDIUM,3.0
LEC,Ferrari,4.0,0 days 00:01:30.884000,2.0,1.0,MEDIUM,4.0
LEC,Ferrari,5.0,0 days 00:01:30.459000,2.0,1.0,MEDIUM,5.0
LEC,Ferrari,6.0,0 days 00:01:30.544000,2.0,1.0,MEDIUM,6.0
LEC,Ferrari,7.0,0 days 00:01:30.373000,2.0,1.0,MEDIUM,7.0
LEC,Ferrari,8.0,0 days 00:01:30.631000,2.0,1.0,MEDIUM,8.0
LEC,Ferrari,9.0,0 days 00:01:30.431000,2.0,1.0,MEDIUM,9.0
LEC,Ferrari,10.0,0 days 00:01:30.609000,2.0,1.0,MEDIUM,10.0
